"team","date","opp","score"
"Abilene Christian","02/17/2023","Nevada","W 5-3"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/18/2023","Nevada","W 5-4"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/19/2023","Nevada","L 7-9"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/20/2023","Nevada","W 7-3"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/22/2023","Oklahoma @Arlington, Texas","W 4-3 (10)"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/25/2023(1)","Southeast Mo. St.","W 3-0"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/25/2023(2)","Southeast Mo. St.","L 2-23"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/26/2023(1)","Southeast Mo. St.","W 7-4"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","02/26/2023(2)","Southeast Mo. St.","W 5-4"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/03/2023","Houston Christian","W 13-3"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/04/2023(1)","Houston Christian","W 12-6"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/04/2023(2)","Houston Christian","W 9-5"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/05/2023","Houston Christian","L 7-8"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/10/2023","SFA","W 7-4"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/11/2023","SFA","W 11-6"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/12/2023","SFA","W 9-6"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/15/2023","Oral Roberts","W 10-8"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/17/2023","@ UT Arlington","L 3-4"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/18/2023","@ UT Arlington","W 6-4"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/19/2023","@ UT Arlington","W 12-7"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/21/2023","@ TCU","L 0-7"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/24/2023","Sacramento St.","L 4-8"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/25/2023","Sacramento St.","W 10-0"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/26/2023","Sacramento St.","W 20-5"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/28/2023","@ Baylor","W 5-2 (11)"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","03/31/2023","A&M-Corpus Christi","W 9-7"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/01/2023","Nebraska","W 5-3"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/02/2023","A&M-Corpus Christi","W 10-9"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/08/2023(1)","@ Sam Houston","L 1-5"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/08/2023(2)","@ Sam Houston","L 3-4"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/09/2023","@ Sam Houston","W 8-7"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/11/2023","TCU","L 5-7"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/14/2023","Grand Canyon","W 16-14"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/15/2023","Grand Canyon","L 2-14"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/16/2023","Grand Canyon","L 4-6 (12)"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/19/2023","@ Texas","L 0-20"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/21/2023","@ UTRGV","W 4-2"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/22/2023(1)","@ UTRGV","L 4-8"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/22/2023(2)","@ UTRGV","L 1-2 (10)"
"Abilene Christian","FALSE","FALSE","FALSE"
"Abilene Christian","04/25/2023","Texas Tech","Ppd"
