sport,year,round,event,name1,name2,team1,score1,team2,score2,ot,location
MLS,1914,,USOCUP,,,Brooklyn Field Club,2,Brooklyn Celtic,1,,
MLS,1915,,USOCUP,,,Bethlehem Steel,3,Brooklyn Celtic,1,,
MLS,1916,,USOCUP,,,Bethlehem Steel,1,Fall River Rovers,0,,
MLS,1917,,USOCUP,,,Fall River Rovers,1,Bethlehem Steel,0,,
MLS,1918,,USOCUP,,,Bethlehem Steel,3,Fall River Rovers,0,replay after 2-2,
MLS,1919,,USOCUP,,,Bethlehem Steel,2,Paterson Silk Sox,0,,
MLS,1920,,USOCUP,,,St. Louis Ben Millers,2,Fore River Rovers,1,,
MLS,1921,,USOCUP,,,Brooklyn Robins Dry Dock,4,St. Louis Scullin Steel,2,,
MLS,1922,,USOCUP,,,St. Louis Scullin Steel,3,Brooklyn Todd Shipyards,2,,
MLS,1923,,USOCUP,,,Paterson Silk Sox,2,St. Louis Scullin Steel,2,walkover after 2-2,
MLS,1924,,USOCUP,,,Fall River Marksmen,4,St. Louis Vesper Buick,2,,
MLS,1925,,USOCUP,,,Shawsheen Indians,3,Chicago Canadians,0,,
MLS,1926,,USOCUP,,,Bethlehem Steel,7,St. Louis Ben Millers,2,,
MLS,1927,,USOCUP,,,Fall River Marksmen,7,Detroit Holley Carburetor,0,,
MLS,1928,,USOCUP,,,New York Nationals,3,Chicago Bricklayers,0,replay after 1-1,
MLS,1929,,USOCUP,,,New York Hakoah,5,St. Louis Madison Kennel,0,2-0 3-0,
MLS,1930,,USOCUP,,,Fall River Marksmen,9,Cleveland Bruell Insurance,3,7-2 2-1,
MLS,1931,,USOCUP,,,Fall River Marksmen,9,Chicago Bricklayers,3,6-2 1-1 2-0,
MLS,1932,,USOCUP,,,New Bedford Whalers,8,St. Louis Stix, Baer and Fuller,5,3-3 5-2,
MLB,1933,,ASG,,,American,4,National,2,,Chicago AL
MLS,1933,,USOCUP,,,St. Louis Stix, Baer and Fuller,3,New York Americans,1,1-0 2-1,
MLB,1934,,ASG,,,American,9,National,7,,New York NL
MLS,1934,,USOCUP,,,St. Louis Stix, Baer and Fuller,11,Pawtucket Rangers,5,4-2 2-3 5-0,
MLB,1935,,ASG,,,American,4,National,1,,Cleveland
MLS,1935,,USOCUP,,,St. Louis Stix, Baer and Fuller,7,Pawtucket Rangers,6,5-2 1-1 1-3,
MLB,1936,,ASG,,,National,4,American,3,,Boston NL
MLS,1936,,USOCUP,,,Philadelphia German American,5,St. Louis Stix, Baer and Fuller,2,2-2 3-0,
MLB,1937,,ASG,,,American,8,National,3,,Washington AL
MLS,1937,,USOCUP,,,New York Americans,4,St. Louis Stix, Baer and Fuller,3,0-1 4-2,
MLB,1938,,ASG,,,National,4,American,1,,Cincinnati
MLS,1938,,USOCUP,,,Chicago Sparta,6,Brooklyn St. Mary's Celtic,2,3-0 3-2,
NFL,1938,,NFLASG,,,New York Giants,13,NFL All-Stars,10,,Los Angeles
MLB,1939,,ASG,,,American,3,National,1,,New York AL
MLS,1939,,USOCUP,,,Brooklyn St. Mary's Celtic,5,Chicago Manhattan Beer,1,1-0 4-1,
NFL,1939,,NFLASG,,,Green Bay Packers,16,NFL All-Stars,7,,Los Angeles
MLB,1940,,ASG,,,National,4,American,0,,St. Louis NL
MLS,1940,,USOCUP,,,Baltimore SC<br>Chicago Sparta,2,(shared),2,1-1 2-2 TIE,
NFL,1940,,NFLASG,,,Chicago Bears,28,NFL All-Stars,14,,Los Angeles
MLB,1941,,ASG,,,American,7,National,5,,Detroit
MLS,1941,,USOCUP,,,Pawtucket Rangers,8,Detroit Chrysler,5,4-2 4-3 AET,
NFL,1941,,NFLASG,,,Chicago Bears,35,NFL All-Stars,24,,New York
MLB,1942,,ASG,,,American,3,National,1,,New York NL
MLS,1942,,USOCUP,,,Pittsburgh Gallatin,6,Pawtucket Rangers,3,2-1 4-2,
NFL,1942,,NFLASG,,,NFL All-Stars,17,Washington Redskins,14,,Philadelphia
MLB,1943,,ASG,,,American,5,National,3,,Philadelphia AL
MLS,1943,,USOCUP,,,Brooklyn Hispano,3,Pittsburgh Morgan Strasser,2,replay after 2-2,
MLB,1944,,ASG,,,National,7,American,1,,Pittsburgh
MLS,1944,,USOCUP,,,Brooklyn Hispano,4,Pittsburgh Morgan Strasser,0,,
MLS,1945,,USOCUP,,,New York Brookhattan,6,Cleveland Americans,3,4-1 2-1,
MLB,1946,,ASG,,,American,12,National,0,,Boston AL
MLS,1946,,USOCUP,,,Chicago Vikings,3,Fall River Ponta Delgada,2,1-1 2-1,
MLB,1947,,ASG,,,American,2,National,1,,Chicago NL
MLS,1947,,USOCUP,,,Fall River Ponta Delgada,9,Chicago Sparta,3,6-1 3-2,
NHL,1947,,NHLASG,,,NHL All-Stars,4,Toronto Maple Leafs,3,,Toronto
MLB,1948,,ASG,,,American,5,National,2,,St. Louis AL
MLS,1948,,USOCUP,,,St. Louis Simpkins Ford,3,New York Brookhattan,2,,
NHL,1948,,NHLASG,,,NHL All-Stars,3,Toronto Maple Leafs,1,,Chicago
MLB,1949,,ASG,,,American,11,National,7,,Brooklyn
MLS,1949,,USOCUP,,,Pittsburgh Morgan Strasser,4,Philadelphia Nationals,3,0-1 4-2,
NHL,1949,,NHLASG,,,NHL All-Stars,3,Toronto Maple Leafs,1,,Toronto
MLB,1950,,ASG,,,National,4,American,3,14 innings,Chicago AL
MLS,1950,,USOCUP,,,St. Louis Simpkins Ford,3,Fall River Ponta Delgada,1,2-0 1-1,
NFL,1950,,Pro Bowl,,,NFL American,28,NFL National,27,,Los Angeles
NHL,1950,,NHLASG,,,Detroit Red Wings,7,NHL All-Stars,1,,Detroit
MLB,1951,,ASG,,,National,8,American,3,,Detroit
MLS,1951,,USOCUP,,,New York German Hungarian,8,Pittsburgh Heidelberg,6,2-4 6-2 AET,
NBA,1951,,NBAASG,,,East,111,West,94,,Boston
NFL,1951,,Pro Bowl,,,NFL National,30,NFL American,13,,Los Angeles
NHL,1951,,NHLASG,,,First Team,2,Second Team,2,TIE,Toronto
MLB,1952,,ASG,,,National,3,American,2,5 innings,Philadelphia NL
MLS,1952,,USOCUP,,,Harmarville Hurricanes,7,Philadelphia Nationals,5,3-4 4-1 AET,
NBA,1952,,NBAASG,,,East,108,West,91,,Boston
NFL,1952,,Pro Bowl,,,NFL National,27,NFL American,7,,Los Angeles
NHL,1952,,NHLASG,,,First Team,1,Second Team,1,TIE,Detroit
MLB,1953,,ASG,,,National,5,American,1,,Cincinnati
MLS,1953,,USOCUP,,,Chicago Falcons,3,Harmarville Hurricanes,0,2-0 1-0,
NBA,1953,,NBAASG,,,West,79,East,75,,Ft. Wayne
NFL,1953,,Pro Bowl,,,NFL East,20,NFL West,9,,Los Angeles
NHL,1953,,NHLASG,,,NHL All-Stars,3,Montreal Canadiens,1,,Montreal
MLB,1954,,ASG,,,American,11,National,9,,Cleveland
MLS,1954,,USOCUP,,,New York Americans,3,St. Louis Kutis,1,1-1 2-0,
NBA,1954,,NBAASG,,,East,98,West,93,OT,New York
NFL,1954,,Pro Bowl,,,NFL West,26,NFL East,19,,Los Angeles
NHL,1954,,NHLASG,,,NHL All-Stars,2,Detroit Red Wings,2,TIE,Detroit
MLB,1955,,ASG,,,National,6,American,5,12 innings,Milwaukee NL
MLS,1955,,USOCUP,,,New York Eintracht,2,Los Angeles Danish American,0,,
NBA,1955,,NBAASG,,,East,100,West,91,,New York
NFL,1955,,Pro Bowl,,,NFL East,31,NFL West,30,,Los Angeles
NHL,1955,,NHLASG,,,Detroit Red Wings,3,NHL All-Stars,1,,Detroit
MLB,1956,,ASG,,,National,7,American,3,,Washington AL
MLS,1956,,USOCUP,,,Harmarville Hurricanes,3,Chicago Schwaben,2,0-1 3-1 AET,
NBA,1956,,NBAASG,,,West,108,East,94,,Rochester
NFL,1956,,Pro Bowl,,,NFL West,19,NFL East,10,,Los Angeles
NHL,1956,,NHLASG,,,NHL All-Stars,1,Montreal Canadiens,1,TIE,Montreal
MLB,1957,,ASG,,,American,6,National,5,,St. Louis NL
MLS,1957,,USOCUP,,,St. Louis Kutis,6,New York Hakoah,1,3-0 3-1,
NBA,1957,,NBAASG,,,East,109,West,97,,Boston
NFL,1957,,Pro Bowl,,,NFL West,26,NFL East,7,,Los Angeles
NHL,1957,,NHLASG,,,NHL All-Stars,5,Montreal Canadiens,3,,Montreal
MLB,1958,,ASG,,,American,4,National,3,,Baltimore
MLS,1958,,USOCUP,,,Los Angeles Kickers,2,Baltimore Pompei,1,AET,
NBA,1958,,NBAASG,,,East,130,West,118,,St. Louis
NFL,1958,,Pro Bowl,,,NFL East,28,NFL West,21,,Los Angeles
NHL,1958,,NHLASG,,,Montreal Canadiens,6,NHL All-Stars,3,,Montreal
MLB,1959,1,ASG,,,American,5,National,3,,Los Angeles
MLB,1959,2,ASG,,,National,5,American,4,,Pittsburgh
MLS,1959,,USOCUP,,,San Pedro McIlvaine Canvasbacks,4,Fall River SC,3,,
NBA,1959,,NBAASG,,,West,124,East,108,,Detroit
NFL,1959,,Pro Bowl,,,NFL West,38,NFL East,21,,Los Angeles
NHL,1959,,NHLASG,,,Montreal Canadiens,6,NHL All-Stars,1,,Montreal
MLB,1960,1,ASG,,,National,6,American,0,,New York AL
MLB,1960,2,ASG,,,National,5,American,3,,Kansas City
MLS,1960,,USOCUP,,,Philadelphia Ukrainians,5,Los Angeles Kickers,3,AET,
NBA,1960,,NBAASG,,,East,125,West,115,,Philadelphia
NFL,1960,,Pro Bowl,,,NFL West,35,NFL East,31,,Los Angeles
NHL,1960,,NHLASG,,,NHL All-Stars,2,Montreal Canadiens,1,,Montreal
MLB,1961,1,ASG,,,National,1,American,1,TIE,Boston AL
MLB,1961,2,ASG,,,National,5,American,4,10 innings,San Francisco
MLS,1961,,USOCUP,,,Philadelphia Ukrainians,7,Los Angeles Scots,4,2-2 5-2,
NBA,1961,,NBAASG,,,West,153,East,131,,Syracuse
NFL,1961,,AFLASG,,,AFL West,47,AFL East,27,,San Diego
NFL,1961,,Pro Bowl,,,NFL West,31,NFL East,30,,Los Angeles
NHL,1961,,NHLASG,,,NHL All-Stars,3,Chicago Black Hawks,1,,Chicago
MLB,1962,1,ASG,,,American,9,National,4,,Chicago NL
MLB,1962,2,ASG,,,National,3,American,1,,Washington AL
MLS,1962,,USOCUP,,,New York Hungaria,3,San Francisco Scots,0,,
NBA,1962,,NBAASG,,,West,150,East,130,,St. Louis
NFL,1962,,AFLASG,,,AFL West,21,AFL East,14,,San Diego
NFL,1962,,Pro Bowl,,,NFL East,30,NFL West,20,,Los Angeles
NHL,1962,,NHLASG,,,Toronto Maple Leafs,4,NHL All-Stars,1,,Toronto
MLB,1963,,ASG,,,National,5,American,3,,Cleveland
MLS,1963,,USOCUP,,,Philadelphia Ukrainians,1,Los Angeles Armenians,0,AET,
NBA,1963,,NBAASG,,,East,115,West,108,,Los Angeles
NFL,1963,,AFLASG,,,AFL West,27,AFL East,24,,San Diego
NFL,1963,,Pro Bowl,,,NFL West,31,NFL East,17,,Los Angeles
NHL,1963,,NHLASG,,,NHL All-Stars,3,Toronto Maple Leafs,3,TIE,Toronto
MLB,1964,,ASG,,,National,7,American,4,,New York NL
MLS,1964,,USOCUP,,,Los Angeles Kickers,4,Philadelphia Ukrainians,2,2-2 2-0,
NBA,1964,,NBAASG,,,East,111,West,107,,Boston
NFL,1964,,AFLASG,,,AFL West,38,AFL East,14,,Houston
NFL,1964,,Pro Bowl,,,NFL West,34,NFL East,14,,Los Angeles
NHL,1964,,NHLASG,,,NHL All-Stars,3,Toronto Maple Leafs,2,,Toronto
MLB,1965,,ASG,,,National,6,American,5,,Minneapolis
MLS,1965,,USOCUP,,,New York Ukrainians,5,Chicago Hansa,2,1-1 4-1 AET,
NBA,1965,,NBAASG,,,East,124,West,123,,St. Louis
NFL,1965,,AFLASG,,,AFL All-Stars,30,Buffalo Bills,19,,Houston
NFL,1965,,Pro Bowl,,,NFL East,36,NFL West,7,,Los Angeles
NHL,1965,,NHLASG,,,NHL All-Stars,5,Montreal Canadiens,2,,Montreal
MLB,1966,,ASG,,,National,2,American,1,10 innings,St. Louis NL
MLS,1966,,USOCUP,,,Philadelphia Ukrainians,4,Orange County SC,0,1-0 3-0,
NBA,1966,,NBAASG,,,East,137,West,94,,Cincinnati
NFL,1966,,AFLASG,,,AFL East,30,AFL West,23,,Oakland
NFL,1966,,Pro Bowl,,,NFL East,20,NFL West,10,,Los Angeles
MLB,1967,,ASG,,,National,2,American,1,15 innings,Anaheim
MLS,1967,,USOCUP,,,New York Greek American,4,Orange County SC,2,,
NBA,1967,,NBAASG,,,West,135,East,120,,San Francisco
NFL,1967,,AFLASG,,,AFL East,25,AFL West,24,,Jacksonville
NFL,1967,,Pro Bowl,,,NFL West,38,NFL East,20,,Los Angeles
NHL,1967,,NHLASG,,,Montreal Canadiens,3,NHL All-Stars,0,,Montreal
MLB,1968,,ASG,,,National,1,American,0,,Houston
MLS,1968,,USOCUP,,,New York Greek American,2,Chicago Olympic,1,1-1 1-0,
NBA,1968,,NBAASG,,,East,144,West,124,,New York
NFL,1968,,AFLASG,,,AFL West,38,AFL East,25,,Jacksonville
NFL,1968,,Pro Bowl,,,NFL West,10,NFL East,7,,Los Angeles
NHL,1968,,NHLASG,,,Toronto Maple Leafs,4,NHL All-Stars,3,,Toronto
MLB,1969,,ASG,,,National,9,American,3,,Washington AL
