Year,Conference,Division,School,PC,WC,LC,TC,W,L,T,WT,LT,WN,LN
1997,A10,East,Fordham,21,12,9,0,34,19,0,0,2,0,0
1997,A10,East,Massachusetts,21,17,4,0,35,12,0,2,2,0,0
1997,A10,East,Rhode Island,21,6,15,0,14,28,1,0,0,0,0
1997,A10,East,St. Bonaventure,21,9,12,0,19,26,0,0,0,0,0
1997,A10,East,St. Joseph's,21,4,17,0,14,35,1,0,0,0,0
1997,A10,East,Temple,21,9,12,0,16,31,0,0,0,0,0
1997,A10,West,Dayton,21,12,9,0,21,28,0,0,0,0,0
1997,A10,West,Duquesne,21,12,9,0,17,32,0,0,0,0,0
1997,A10,West,G. Washington,21,9,12,0,21,33,0,0,0,0,0
1997,A10,West,La Salle,20,8,12,0,19,27,0,0,0,0,0
1997,A10,West,Virginia Tech,21,13,8,0,34,28,0,3,0,1,2
1997,A10,West,Xavier,20,14,6,0,32,26,0,1,2,0,0
1997,ACC,,Clemson,23,13,10,0,41,23,0,3,2,1,2
1997,ACC,,Duke,23,9,14,0,33,25,0,2,2,0,0
1997,ACC,,Florida St.,24,18,6,0,50,17,0,5,0,4,2
1997,ACC,,Georgia Tech,23,19,4,0,46,15,0,1,2,2,2
1997,ACC,,Maryland,24,5,19,0,22,32,0,0,1,0,0
1997,ACC,,NC State,23,15,8,0,43,20,0,2,2,2,2
1997,ACC,,North Carolina,24,6,18,0,29,31,0,2,2,0,0
1997,ACC,,Virginia,23,10,13,0,32,22,0,0,2,0,0
1997,ACC,,Wake Forest,23,10,13,0,37,20,0,0,2,0,0
1997,AmEast,,Delaware,22,19,3,0,45,10,0,2,2,0,0
1997,AmEast,,Drexel,23,13,10,0,28,22,1,0,2,0,0
1997,AmEast,,Hartford,23,7,16,0,16,23,0,0,0,0,0
1997,AmEast,,Hofstra,23,7,16,0,14,28,0,0,0,0,0
1997,AmEast,,Maine,24,16,8,0,24,27,0,0,2,0,0
1997,AmEast,,New Hampshire,24,7,17,0,17,22,0,0,0,0,0
1997,AmEast,,Northeastern,24,12,12,0,33,19,0,4,0,0,2
1997,AmEast,,Towson,23,9,14,0,24,28,0,1,2,0,0
1997,AmEast,,Vermont,24,15,9,0,27,19,0,3,2,0,0
1997,ASUN,East,Campbell,18,7,11,0,17,40,0,0,0,0,0
1997,ASUN,East,Charleston,18,7,11,0,25,29,1,0,0,0,0
1997,ASUN,East,Georgia St.,18,10,8,0,23,30,0,0,0,0,0
1997,ASUN,East,Mercer,18,12,6,0,35,23,0,0,2,0,0
1997,ASUN,South,FIU,18,10,8,0,42,21,0,2,2,0,2
1997,ASUN,South,Fla. Atlantic,17,8,9,0,32,24,0,0,0,0,0
1997,ASUN,South,Stetson,18,10,8,0,37,26,1,3,2,0,2
1997,ASUN,South,UCF,17,7,10,0,40,24,0,4,0,0,2
1997,ASUN,West,Centenary,18,3,15,0,11,39,0,0,0,0,0
1997,ASUN,West,Jacksonville St.,18,14,4,0,39,13,0,0,0,0,0
1997,ASUN,West,Samford,18,8,10,0,31,29,0,1,2,0,0
1997,ASUN,West,SE Louisiana,18,11,7,0,34,24,0,0,2,0,0
1997,Big10,,Illinois,28,17,11,0,32,27,0,1,2,0,0
1997,Big10,,Indiana,24,8,16,0,33,22,0,0,0,0,0
1997,Big10,,Iowa,23,7,16,0,17,30,0,0,0,0,0
1997,Big10,,Michigan,26,17,9,0,36,22,0,2,2,0,0
1997,Big10,,Michigan St.,28,12,16,0,26,28,0,0,0,0,0
1997,Big10,,Minnesota,25,15,10,0,30,24,0,0,0,0,0
1997,Big10,,Northwestern,28,9,19,0,20,35,0,0,0,0,0
1997,Big10,,Ohio State,28,18,10,0,42,18,0,3,0,0,2
1997,Big10,,Penn State,26,12,14,0,29,24,0,0,0,0,0
1997,Big10,,Purdue,28,17,11,0,30,25,0,0,2,0,0
1997,Big12,,Baylor,30,18,12,0,32,23,0,0,2,0,0
1997,Big12,,Iowa State,27,6,21,0,21,31,0,0,0,0,0
1997,Big12,,Kansas,30,12,18,0,31,25,0,0,0,0,0
1997,Big12,,Kansas St.,30,10,20,0,32,24,0,0,0,0,0
1997,Big12,,Missouri,29,15,14,0,31,27,0,1,2,0,0
1997,Big12,,Nebraska,30,7,23,0,27,35,0,0,0,0,0
1997,Big12,,Oklahoma,29,18,11,0,39,20,0,4,1,0,2
1997,Big12,,Oklahoma St.,30,21,9,0,46,19,0,2,2,3,2
1997,Big12,,Texas,27,12,15,0,29,22,0,0,0,0,0
1997,Big12,,Texas A&M,30,19,11,0,39,22,0,1,2,0,2
1997,Big12,,Texas Tech,30,23,7,0,46,14,0,3,2,0,2
1997,BigEast,American,Boston College,25,8,17,0,20,23,0,0,0,0,0
1997,BigEast,American,Connecticut,24,11,13,0,27,20,0,0,0,0,0
1997,BigEast,American,Pittsburgh,25,8,17,0,19,26,0,0,0,0,0
1997,BigEast,American,Providence,25,10,15,0,26,23,0,0,0,0,0
1997,BigEast,American,St. John's,23,16,7,0,35,17,0,4,0,0,2
1997,BigEast,American,West Virginia,24,17,7,0,36,19,0,1,2,0,0
1997,BigEast,National,Georgetown,23,8,15,0,19,37,1,0,0,0,0
1997,BigEast,National,Notre Dame,21,15,6,0,41,19,0,2,2,0,0
1997,BigEast,National,Rutgers,24,13,11,0,28,24,0,0,2,0,0
1997,BigEast,National,Seton Hall,24,13,11,0,32,22,0,0,2,0,0
1997,BigEast,National,Villanova,24,12,12,0,29,27,0,3,2,0,0
1997,BigSouth,,Charleston So.,20,12,8,0,21,36,0,2,2,0,0
1997,BigSouth,,Coastal Carolina,21,5,16,0,23,31,0,0,0,0,0
1997,BigSouth,,Liberty,21,11,10,0,25,32,0,1,2,0,0
1997,BigSouth,,NC Asheville,20,9,11,0,20,33,0,0,0,0,0
1997,BigSouth,,NC Greensboro,21,18,3,0,45,17,0,4,1,1,2
1997,BigSouth,,Radford,21,9,12,0,26,28,0,0,0,0,0
1997,BigSouth,,UMBC,21,5,16,0,12,35,0,0,0,0,0
1997,BigSouth,,Winthrop,21,14,7,0,27,29,1,0,2,0,0
1997,BigWest,North,Nevada,30,20,10,0,39,21,0,1,2,1,2
1997,BigWest,North,New Mexico St.,30,8,22,0,21,33,0,0,0,0,0
1997,BigWest,North,Pacific,30,11,19,0,29,29,0,2,2,0,0
1997,BigWest,North,Sacramento St.,30,8,22,0,16,39,0,0,0,0,0
1997,BigWest,South,Cal Poly,30,15,15,0,37,21,0,1,2,0,0
1997,BigWest,South,CS Fullerton,30,21,9,0,39,24,1,4,1,1,2
1997,BigWest,South,Long Beach St.,30,22,8,0,39,26,0,3,2,2,2
1997,BigWest,South,UCSB,30,15,15,0,26,30,0,0,2,0,0
1997,Colonial,,East Carolina,21,10,11,0,29,27,0,3,2,0,0
1997,Colonial,,George Mason,21,10,11,0,29,24,0,0,2,0,0
1997,Colonial,,James Madison,20,10,10,0,31,26,0,1,2,0,0
1997,Colonial,,NC Wilmington,19,7,12,0,28,29,0,1,2,0,0
1997,Colonial,,Old Dominion,20,12,8,0,34,20,0,0,2,0,0
1997,Colonial,,Richmond,20,8,12,0,34,26,0,4,0,1,2
1997,Colonial,,VCU,19,15,4,0,32,23,0,2,2,0,0
1997,Colonial,,William & Mary,20,8,12,0,30,24,0,3,2,0,0
1997,CUSA,,Charlotte,26,14,12,0,30,26,1,3,2,0,0
1997,CUSA,,Cincinnati,27,4,23,0,12,46,0,1,2,0,0
1997,CUSA,,Houston,27,19,8,0,40,23,0,4,1,0,2
1997,CUSA,,Louisville,26,11,15,0,23,32,0,0,1,0,0
1997,CUSA,,Memphis,26,9,17,0,20,31,0,0,1,0,0
1997,CUSA,,South Florida,26,18,8,0,39,24,0,1,2,2,2
1997,CUSA,,Southern Miss,26,16,10,0,34,23,0,1,2,0,0
1997,CUSA,,St. Louis,27,8,19,0,21,30,0,1,2,0,0
1997,CUSA,,Tulane,26,19,7,0,40,21,0,3,2,0,0
1997,CUSA,,UAB,27,14,13,0,31,29,0,3,2,0,0
1997,Horizon,,Butler,24,8,16,0,18,32,0,0,0,0,0
1997,Horizon,,Cleveland St.,24,12,12,0,22,28,0,0,0,0,0
1997,Horizon,,Detroit,24,15,9,0,27,24,0,3,1,0,0
1997,Horizon,,Milwaukee,24,13,11,0,28,30,0,0,2,0,0
1997,Horizon,,Northern Ill.,24,12,12,0,22,29,0,1,2,0,0
1997,Horizon,,UIC,24,8,16,0,15,26,0,0,0,0,0
1997,Horizon,,Wright St.,24,16,8,0,31,30,0,3,2,0,0
1997,Indep,,CS Northridge,4,4,0,0,42,20,1,0,0,0,0
1997,Indep,,Hawaii Hilo,0,0,0,0,17,30,1,0,0,0,0
1997,Indep,,Miami,3,3,0,0,51,18,0,0,0,7,3
1997,Indep,,Oral Roberts,3,0,3,0,26,30,0,0,0,0,0
1997,Indep,,Southern Utah,4,0,4,0,8,37,0,0,0,0,0
1997,Indep,,Wofford,0,0,0,0,13,33,0,0,0,0,0
1997,Ivy,Gehrig,Columbia,20,6,14,0,12,26,1,0,0,0,0
1997,Ivy,Gehrig,Cornell,20,7,13,0,13,26,0,0,0,0,0
1997,Ivy,Gehrig,Pennsylvania,20,10,10,0,19,21,0,0,1,0,0
1997,Ivy,Gehrig,Princeton,20,10,10,0,20,25,0,2,2,0,0
1997,Ivy,Rolfe,Brown,20,2,18,0,5,37,0,0,0,0,0
1997,Ivy,Rolfe,Dartmouth,20,11,9,0,22,16,0,0,0,0,0
1997,Ivy,Rolfe,Harvard,20,18,2,0,34,16,0,2,1,2,2
1997,Ivy,Rolfe,Yale,20,16,4,0,24,19,0,0,0,0,0
1997,MAAC,North,Canisius,18,5,13,0,18,19,0,0,0,0,0
1997,MAAC,North,Le Moyne,18,10,8,0,16,23,0,0,0,0,0
