year,bowl,bowlid,mm,yy,team1,score1,team2,score2,ot
2015,AAC Champ,AAC Champ,,,Houston,24,Temple,13,
2016,AAC Champ,AAC Champ,,,Temple,34,Navy,10,
2017,AAC Champ,AAC Champ,,,UCF,62,Memphis,55,2OT
2018,AAC Champ,AAC Champ,,,UCF,56,Memphis,41,
2019,AAC Champ,AAC Champ,,,Memphis,29,Cincinnati,24,
2020,AAC Champ,AAC Champ,,,Cincinnati,27,Tulsa,24,
2021,AAC Champ,AAC Champ,,,Cincinnati,35,Houston,20,
2022,AAC Champ,AAC Champ,,,Tulane,45,UCF,28,
2023,AAC Champ,AAC Champ,,,SMU,26,Tulane,14,
2024,AAC Champ,AAC Champ,,,Army,35,Tulane,14,
2005,ACC Champ,ACC Champ,,,Florida St.,27,Virginia Tech,22,
2006,ACC Champ,ACC Champ,,,Wake Forest,9,Georgia Tech,6,
2007,ACC Champ,ACC Champ,,,Virginia Tech,30,Boston College,16,
2008,ACC Champ,ACC Champ,,,Virginia Tech,30,Boston College,12,
2009,ACC Champ,ACC Champ,,,Georgia Tech,39,Clemson,34,
2010,ACC Champ,ACC Champ,,,Virginia Tech,44,Florida St.,33,
2011,ACC Champ,ACC Champ,,,Clemson,38,Virginia Tech,10,
2012,ACC Champ,ACC Champ,,,Floirda St.,21,Georgia Tech,15,
2013,ACC Champ,ACC Champ,,,Florida St.,45,Duke,7,
2014,ACC Champ,ACC Champ,,,Florida St.,37,Georgia Tech,35,
2015,ACC Champ,ACC Champ,,,Clemson,45,North Carolina,37,
2016,ACC Champ,ACC Champ,,,Clemson,42,Virginia Tech,35,
2017,ACC Champ,ACC Champ,,,Clemson,38,Miami,3,
2018,ACC Champ,ACC Champ,,,Clemson,42,Pittsburgh,10,
2019,ACC Champ,ACC Champ,,,Clemson,62,Virginia,17,
2020,ACC Champ,ACC Champ,,,Clemson,34,Notre Dame,10,
2021,ACC Champ,ACC Champ,,,Pittsburgh,45,Wake Forest,21,
2022,ACC Champ,ACC Champ,,,Clemson,39,North Carolina,10,
2023,ACC Champ,ACC Champ,,,Florida St.,16,Louisville,6,
2024,ACC Champ,ACC Champ,,,Clemson,34,SMU,31,
1993,Alamo,Alamo,Dec,1993,California,37,Iowa,3,
1994,Alamo,Alamo,Dec,1994,Washington St.,10,Baylor,3,
1995,Alamo,Alamo,Dec,1995,Texas A&M,22,Michigan,20,
1996,Alamo,Alamo,Dec,1996,Iowa,27,Texas Tech,0,
1997,Alamo,Alamo,Dec,1997,Purdue,33,Oklahoma St.,20,
1998,Alamo,Alamo,Dec,1998,Purdue,37,Kansas St.,34,
1999,Alamo,Alamo,Dec,1999,Penn State,24,Texas A&M,0,
2000,Alamo,Alamo,Dec,2000,Nebraska,66,Northwestern,17,
2001,Alamo,Alamo,Dec,2001,Iowa,19,Texas Tech,16,
2002,Alamo,Alamo,Dec,2002,Wisconsin,31,Colorado,28,OT
2003,Alamo,Alamo,Dec,2003,Nebraska,17,Michigan St.,3,
2004,Alamo,Alamo,Dec,2004,Ohio State,33,Oklahoma St.,7,
2005,Alamo,Alamo,Dec,2005,Nebraska,32,Michigan,28,
2006,Alamo,Alamo,Dec,2006,Texas,26,Iowa,24,
2007,Alamo,Alamo,Dec,2007,Penn State,24,Texas A&M,17,
2008,Alamo,Alamo,Dec,2008,Missouri,30,Northwestern,23,OT
2009,Alamo,Alamo,Jan,2010,Texas Tech,41,Michigan St.,31,
2010,Alamo,Alamo,Dec,2010,Oklahoma St.,36,Arizona,10,
2011,Alamo,Alamo,Dec,2011,Baylor,67,Washington,56,
2012,Alamo,Alamo,Dec,2012,Texas,31,Oregon St.,27,
2013,Alamo,Alamo,Dec,2013,Oregon,30,Texas,7,
2014,Alamo,Alamo,Jan,2015,UCLA,40,Kansas St.,35,
2015,Alamo,Alamo,Jan,2016,TCU,47,Oregon,41,3OT
2016,Alamo,Alamo,Dec,2016,Oklahoma St.,38,Colorado,8,
2017,Alamo,Alamo,Dec,2017,TCU,39,Stanford,37,
2018,Alamo,Alamo,Dec,2018,Washington St.,28,Iowa State,26,
2019,Alamo,Alamo,Dec,2019,Texas,38,Utah,10,
2020,Alamo,Alamo,Dec,2020,Texas,55,Colorado,23,
2021,Alamo,Alamo,Dec,2021,Oklahoma,47,Oregon,32,
2022,Alamo,Alamo,Dec,2022,Washington,27,Texas,20,
2023,Alamo,Alamo,Dec,2023,Arizona,38,Oklahoma,24,
2024,Alamo,Alamo,Dec,2024,BYU,36,Colorado,14,
