season,conference,splits,winner,wscore,loser,lscore,note
1953,ACC,1,Duke,,,,
1953,ACC,2,Maryland,,,,
1954,ACC,1,Duke,,,,
1955,ACC,1,Maryland,,,,
1955,ACC,2,Duke,,,,
1956,ACC,1,Clemson,,,,
1957,ACC,1,NC State,,,,
1958,ACC,1,Clemson,,,,
1959,ACC,1,Clemson,,,,
1960,ACC,1,Duke,,,,
1961,ACC,1,Duke,,,,
1962,ACC,1,Duke,,,,
1963,ACC,1,North Carolina,,,,
1963,ACC,2,NC State,,,,
1964,ACC,1,NC State,,,,
1965,ACC,1,Clemson,,,,
1965,ACC,2,NC State,,,,
1966,ACC,1,Clemson,,,,
1967,ACC,1,Clemson,,,,
1968,ACC,1,NC State,,,,
1969,ACC,1,South Carolina,,,,
1970,ACC,1,Wake Forest,,,,
1971,ACC,1,North Carolina,,,,
1972,ACC,1,North Carolina,,,,
1973,ACC,1,NC State,,,,
1974,ACC,1,Maryland,,,,
1975,ACC,1,Maryland,,,,
1976,ACC,1,Maryland,,,,
1977,ACC,1,North Carolina,,,,
1978,ACC,1,Clemson,,,,
1979,ACC,1,NC State,,,,
1980,ACC,1,North Carolina,,,,
1981,ACC,1,Clemson,,,,
1982,ACC,1,Clemson,,,,
1983,ACC,1,Maryland,,,,
1984,ACC,1,Maryland,,,,
1985,ACC,1,Maryland,,,,
1986,ACC,1,Clemson,,,,
1987,ACC,1,Clemson,,,,
1988,ACC,1,Clemson,,,,
1989,ACC,1,Virginia,,,,
1989,ACC,2,Duke,,,,
1990,ACC,1,Georgia Tech,,,,
1991,ACC,1,Clemson,,,,
1992,ACC,1,Florida St.,,,,
1993,ACC,1,Florida St.,,,,
1994,ACC,1,Florida St.,,,,
1995,ACC,1,Virginia,,,,
1995,ACC,2,Florida St.,,,,
1996,ACC,1,Florida St.,,,,
1997,ACC,1,Florida St.,,,,
1998,ACC,1,Florida St.,,,,
1998,ACC,2,Georgia Tech,,,,
1999,ACC,1,Florida St.,,,,
2000,ACC,1,Florida St.,,,,
2001,ACC,1,Maryland,,,,
2002,ACC,1,Florida St.,,,,
2003,ACC,1,Florida St.,,,,
2004,ACC,1,Virginia Tech,,,,
2005,ACC,1,Florida St.,27,Virginia Tech,22,
2006,ACC,1,Wake Forest,9,Georgia Tech,6,
2007,ACC,1,Virginia Tech,30,Boston College,16,
2008,ACC,1,Virginia Tech,30,Boston College,12,
2009,ACC,1,Georgia Tech,39,Clemson,34,
2010,ACC,1,Virginia Tech,44,Florida St.,33,
2011,ACC,1,Clemson,38,Virginia Tech,10,
2012,ACC,1,Florida St.,21,Georgia Tech,15,
2013,ACC,1,Florida St.,45,Duke,7,
2014,ACC,1,Florida St.,37,Georgia Tech,35,
2015,ACC,1,Clemson,45,North Carolina,37,
2016,ACC,1,Clemson,42,Virginia Tech,35,
2017,ACC,1,Clemson,38,Miami,3,
2018,ACC,1,Clemson,42,Pittsburgh,10,
2019,ACC,1,Clemson,62,Virginia,17,
2020,ACC,1,Clemson,34,Notre Dame,10,
2021,ACC,1,Pittsburgh,45,Wake Forest,21,
2022,ACC,1,Clemson,39,North Carolina,10,
2023,ACC,1,Florida St.,16,Louisville,6,
2024,ACC,1,Clemson,34,SMU,31,
2013,American,1,UCF,,,,
2014,American,1,Cincinnati,,,,
2014,American,2,Memphis,,,,
2014,American,3,UCF,,,,
2015,American,1,Houston,24,Temple,13,
2016,American,1,Temple,34,Navy,10,
2017,American,1,UCF,62,Memphis,55,
2018,American,1,UCF,56,Memphis,41,
2019,American,1,Memphis,29,Cincinnati,24,
2020,American,1,Cincinnati,27,Tulsa,24,
2021,American,1,Cincinnati,35,Houston,20,
2022,American,1,Tulane,45,UCF,28,
2023,American,1,SMU,26,Tulane,14,
2024,American,1,Army,35,Tulane,14,
1996,Big 12,1,Texas,37,Nebraska,27,
1997,Big 12,1,Nebraska,54,Texas A&M,15,
1998,Big 12,1,Texas A&M,36,Kansas St.,33,
1999,Big 12,1,Nebraska,22,Texas,6,
2000,Big 12,1,Oklahoma,27,Kansas St.,24,
2001,Big 12,1,Colorado,39,Texas,37,
2002,Big 12,1,Oklahoma,29,Colorado,7,
2003,Big 12,1,Kansas St.,35,Oklahoma,7,
2004,Big 12,1,Oklahoma,42,Colorado,3,
2005,Big 12,1,Texas,70,Colorado,3,
2006,Big 12,1,Oklahoma,21,Nebraska,7,
2007,Big 12,1,Oklahoma,38,Missouri,17,
2008,Big 12,1,Oklahoma,62,Missouri,21,
2009,Big 12,1,Texas,13,Nebraska,12,
2010,Big 12,1,Oklahoma,23,Nebraska,20,
2011,Big 12,1,Oklahoma St.,,,,
