season,date,team1,team2,points1,points2,ot,loc,locn,text,division
1964,1964x12x12,Montana St.,Sacramento St.,29,7,,3,Sacramento,Camelia Bowl (West RF),
1964,1964x12x12,East Carolina,Massachusetts,14,13,,3,Orlando,Tangerine Bowl (East RF),
1964,1964x12x12,Northern Iowa,Lamar,19,17,,3,Abilene TX,Pecan Bowl (Midwest RF),
1964,1964x12x12,Middle Tenn.,Muskingum,20,0,,3,Murfeesboro,Grantland Rice Bowl (Mideast RF),
1965,1965x12x11,CS Los Angeles,UCSB,18,10,,3,Sacramento,Camelia Bowl (West RF),
1965,1965x12x11,East Carolina,Maine,31,0,,3,Orlando,Tangerine Bowl (East RF),
1965,1965x12x11,North Dakota St.,Grambling,20,7,,3,Abilene TX,Pecan Bowl (Midwest RF),
1965,1965x12x11,Tennessee St.,Ball State,14,14,,3,Murfeesboro,Grantland Rice Bowl (Mideast RF),
1966,1966x12x10,San Diego St.,Montana St.,28,7,,3,Sacramento,Camelia Bowl (West RF),
1966,1966x12x10,Morgan St.,West Chester,14,6,,3,Orlando,Tangerine Bowl (East RF),
1966,1966x12x10,North Dakota,Parsons,42,24,,3,Abilene TX,Pecan Bowl (Midwest RF),
1966,1966x12x10,Tennessee St.,Muskingum,34,7,,3,Murfeesboro,Grantland Rice Bowl (Mideast RF),
1967,1967x12x09,San Diego St.,San Francisco St.,34,6,,3,Sacramento,Camelia Bowl (West RF),
1967,1967x12x16,UT Martin,West Chester,25,8,,3,Orlando,Tangerine Bowl (East RF),
1967,1967x12x16,UT Arlington,North Dakota St.,13,0,,3,Abilene TX,Pecan Bowl (Midwest RF),
1967,1967x12x16,Eastern Ky.,Ball State,27,13,,3,Murfeesboro,Grantland Rice Bowl (Mideast RF),
1968,1968x12x14,Humboldt St.,Fresno St.,29,14,,3,Sacramento,Camelia Bowl (West RF),
1968,1968x12x14,Delaware,Indiana (PA),31,24,,3,Atlantic City,Boardwalk Bowl (East RF),
1968,1968x12x14,North Dakota St.,Arkansas St.,23,14,,3,Arlington,Pecan Bowl (Midwest RF),
1968,1968x12x14,Louisiana Tech,Akron,33,13,,3,Murfeesboro,Grantland Rice Bowl (Mideast RF),
1969,1969x11x29,Wittenberg,William Jewell,27,21,,3,Springfield OH,Stagg Bowl (West RF),
1969,1969x11x29,Randolph-Macon,Bridgeport,47,28,,3,Bridgeport CT,Knute Rockne Bowl (East RF),
1969,1969x12x13,North Dakota St.,Montana,30,3,,3,Sacramento,Camelia Bowl (West RF),
1969,1969x12x13,Delaware,NC Central,31,13,,3,Atlantic City,Boardwalk Bowl (East RF),
1969,1969x12x13,Arkansas St.,Drake,29,21,,3,Arlington,Pecan Bowl (Midwest RF),
1969,1969x12x13,ETSU,Louisiana Tech,34,14,,3,Baton Rouge,Grantland Rice Bowl (Mideast RF),
1970,1970x11x28,Capital,Luther,34,21,,3,Columbus OH,Stagg Bowl (West RF),
1970,1970x11x28,Montclair St.,Hampden-Sydney,7,6,,3,Atlantic City,Knute Rockne Bowl (East RF),
1970,1970x12x12,North Dakota St.,Montana,31,16,,3,Sacramento,Camelia Bowl (West RF),
1970,1970x12x12,Delaware,Morgan St.,38,23,,3,Atlantic City,Boardwalk Bowl (East RF),
1970,1970x12x12,Arkansas St.,Central Mo.,38,21,,3,Arlington,Pecan Bowl (Midwest RF),
1970,1970x12x12,Tennessee St.,Louisiana,26,25,,3,Baton Rouge,Grantland Rice Bowl (Mideast RF),
1971,1971x11x26,Samford,Ohio Wesleyan,20,10,,3,Phenix City AL,Stagg Bowl (West RF),
1971,1971x11x26,Bridgeport,Hampden-Sydney,17,12,,3,Atlantic City,Knute Rockne Bowl (East RF),
1971,1971x12x11,Boise St.,Chico St.,32,28,,3,Sacramento,Camelia Bowl (West RF),
1971,1971x12x11,Delaware,CW Post,72,22,,3,Atlantic City,Boardwalk Bowl (East RF),
1971,1971x12x11,Louisiana Tech,Eastern Mich.,14,3,,3,Wichita Falls,Pioneer Bowl (Midwest RF),
1971,1971x12x11,Tennessee St.,McNeese,26,23,,3,Baton Rouge,Grantland Rice Bowl (Mideast RF),
1972,1972x11x24,Heidelberg,Fort Valley St.,28,16,,3,Phenix City AL,Stagg Bowl (West RF),
1972,1972x11x24,Bridgeport,Slippery Rock,27,22,,3,Atlantic City,Knute Rockne Bowl (East RF),
1972,1972x12x09,North Dakota,Cal Poly,38,21,,3,Sacramento,Camelia Bowl (West RF),
1972,1972x12x09,Massachusetts,UC Davis,35,14,,3,Atlantic City,Boardwalk Bowl (East RF),
1972,1972x12x09,Tennessee St.,Drake,29,7,,3,Wichita Falls,Pioneer Bowl (Midwest RF),
1972,1972x12x09,Louisiana Tech,Tennessee Tech,35,0,,3,Baton Rouge,Grantland Rice Bowl (Mideast RF),
1973,1973x12x01,Grambling,Delaware,17,8,,3,Atlantic City Boardwalk Bowl,D2 QF,D2
1973,1973x12x01,Western Ky.,Lehigh,25,16,,1,,D2 QF,D2
1973,1973x12x01,Louisiana Tech,Western Ill.,18,13,,1,,D2 QF,D2
1973,1973x12x01,Boise St.,South Dakota,53,10,,1,,D2 QF,D2
1973,1973x12x08,Western Ky.,Grambling,28,20,,3,Baton Rouge Grantland Rice Bowl,D2 Semi,D2
1973,1973x12x08,Louisiana Tech,Boise St.,38,34,,3,Wichita Falls Pioneer Bowl,D2 Semi,D2
1973,1973x12x15,Louisiana Tech,Western Ky.,34,0,,3,Sacramento Camellia Bowl,D2 Champ,D2
1973,1973x12x01,Juniata,Bridgeport,35,14,,99,,D3 Semi,D3
1973,1973x12x01,Wittenberg,San Diego,21,14,,99,,D3 Semi,D3
1973,1973x12x08,Wittenberg,Juniata,41,0,,3,Phenix City AL,D3 Champ,D3
1974,1974x11x30,Central Mich.,Boise St.,20,6,,1,,D2 QF,D2
1974,1974x11x30,Louisiana Tech,Western Caro.,10,7,,1,,D2 QF,D2
1974,1974x11x30,UNLV,Alcorn St.,35,22,,1,,D2 QF,D2
1974,1974x11x30,Delaware,Youngstown St.,35,14,,1,,D2 QF,D2
1974,1974x12x07,Central Mich.,Louisiana Tech,35,14,,3,Wichita Falls Pioneer Bowl,D2 Semi,D2
1974,1974x12x07,Delaware,UNLV,49,11,,3,Baton Rouge Grantland Rice Bowl,D2 Semi,D2
1974,1974x12x14,Central Mich.,Delaware,54,14,,3,Sacramento Camellia Bowl,D2 Champ,D2
1974,1974x11x30,Central (IA),Evansville,17,16,,99,,D3 Semi,D3
1974,1974x11x30,Ithaca,Slippery Rock,27,14,,99,,D3 Semi,D3
1974,1974x12x07,Central (IA),Ithaca,10,8,,3,Phenix City AL,D3 Champ,D3
1975,1975x11x29,Northern Mich.,Boise St.,24,21,,2,,D2 QF,D2
