year,rank,team,poll
1936,1,Minnesota,AP
1936,2,LSU,AP
1936,3,Pittsburgh,AP
1936,4,Alabama,AP
1936,5,Washington,AP
1936,6,Santa Clara,AP
1936,7,Northwestern,AP
1936,8,Notre Dame,AP
1936,9,Nebraska,AP
1936,10,Pennsylvania,AP
1936,11,Duke,AP
1936,12,Yale,AP
1936,13,Dartmouth,AP
1936,14,Duquesne,AP
1936,15,Fordham,AP
1936,16,TCU,AP
1936,17,Tennessee,AP
1936,18,Arkansas,AP
1936,18,Navy,AP
1936,20,Marquette,AP
1937,1,Pittsburgh,AP
1937,2,California,AP
1937,3,Fordham,AP
1937,4,Alabama,AP
1937,5,Minnesota,AP
1937,6,Villanova,AP
1937,7,Dartmouth,AP
1937,8,LSU,AP
1937,9,Notre Dame,AP
1937,9,Santa Clara,AP
1937,11,Nebraska,AP
1937,12,Yale,AP
1937,13,Ohio State,AP
1937,14,Arkansas,AP
1937,14,Holy Cross,AP
1937,16,TCU,AP
1937,17,Colorado,AP
1937,18,Rice,AP
1937,19,North Carolina,AP
1937,20,Duke,AP
1938,1,TCU,AP
1938,2,Tennessee,AP
1938,3,Duke,AP
1938,4,Oklahoma,AP
1938,5,Notre Dame,AP
1938,6,Carnegie Tech,AP
1938,7,USC,AP
1938,8,Pittsburgh,AP
1938,9,Holy Cross,AP
1938,10,Minnesota,AP
1938,11,Texas Tech,AP
1938,12,Cornell,AP
1938,13,Alabama,AP
1938,14,California,AP
1938,15,Fordham,AP
1938,16,Michigan,AP
1938,17,Northwestern,AP
1938,18,Villanova,AP
1938,19,Tulane,AP
1938,20,Dartmouth,AP
1939,1,Texas A&M,AP
1939,2,Tennessee,AP
1939,3,USC,AP
1939,4,Cornell,AP
1939,5,Tulane,AP
1939,6,Missouri,AP
1939,7,UCLA,AP
1939,8,Duke,AP
1939,9,Iowa,AP
1939,10,Duquesne,AP
1939,11,Boston College,AP
1939,12,Clemson,AP
1939,13,Notre Dame,AP
1939,14,Santa Clara,AP
1939,15,Ohio State,AP
1939,16,Georgia Tech,AP
1939,17,Fordham,AP
1939,18,Nebraska,AP
1939,19,Oklahoma,AP
1939,20,Michigan,AP
1940,1,Minnesota,AP
1940,2,Stanford,AP
1940,3,Michigan,AP
1940,4,Tennessee,AP
1940,5,Boston College,AP
1940,6,Texas A&M,AP
1940,7,Nebraska,AP
1940,8,Northwestern,AP
1940,9,Miss State,AP
1940,10,Washington,AP
1940,11,Santa Clara,AP
1940,12,Fordham,AP
1940,13,Georgetown,AP
1940,14,Pennsylvania,AP
1940,15,Cornell,AP
1940,16,SMU,AP
1940,17,Hardin Simmons,AP
1940,18,Duke,AP
1940,19,Lafayette,AP
1941,1,Minnesota,AP
1941,2,Duke,AP
1941,3,Notre Dame,AP
1941,4,Texas,AP
1941,5,Michigan,AP
1941,6,Fordham,AP
1941,7,Missouri,AP
1941,8,Duquesne,AP
1941,9,Texas A&M,AP
1941,10,Navy,AP
1941,11,Northwestern,AP
1941,12,Oregon St.,AP
1941,13,Ohio State,AP
1941,14,Georgia,AP
1941,15,Pennsylvania,AP
1941,16,Miss State,AP
1941,17,Mississippi,AP
1941,18,Tennessee,AP
1941,19,Washington St.,AP
1941,20,Alabama,AP
1942,1,Ohio State,AP
1942,2,Georgia,AP
1942,3,Wisconsin,AP
1942,4,Tulsa,AP
1942,5,Georgia Tech,AP
1942,6,Notre Dame,AP
1942,7,Tennessee,AP
1942,8,Boston College,AP
1942,9,Michigan,AP
1942,10,Alabama,AP
1942,11,Texas,AP
1942,12,Stanford,AP
1942,13,UCLA,AP
1942,14,William & Mary,AP
1942,15,Santa Clara,AP
1942,16,Auburn,AP
1942,17,Washington St.,AP
1942,18,Miss State,AP
1942,19,Holy Cross,AP
1942,19,Minnesota,AP
1942,19,Penn State,AP
1943,1,Notre Dame,AP
1943,2,Iowa Pre-Flight,AP
1943,3,Michigan,AP
1943,4,Navy,AP
1943,5,Purdue,AP
1943,6,Great Lakes Navy,AP
1943,7,Duke,AP
1943,8,Del Monte Pre-Flight,AP
1943,9,Northwestern,AP
1943,10,March Field,AP
1943,11,Army,AP
1943,12,Washington,AP
1943,13,Georgia Tech,AP
1943,14,Texas,AP
1943,15,Tulsa,AP
1943,16,Dartmouth,AP
1943,17,Bainbridge NTS,AP
1943,18,Colorado Col.,AP
1943,19,Pacific,AP
1943,20,Pennsylvania,AP
1944,1,Army,AP
1944,2,Ohio State,AP
1944,3,Randolph Field,AP
1944,4,Navy,AP
1944,5,Bainbridge NTS,AP
1944,6,Iowa Pre-Flight,AP
1944,7,USC,AP
1944,8,Michigan,AP
1944,9,Notre Dame,AP
1944,10,March Field,AP
1944,11,Duke,AP
1944,12,Tennessee,AP
1944,13,Georgia Tech,AP
1944,13,Norman NAS,AP
1944,15,Illinois,AP
1944,16,El Toro Marines,AP
1944,17,Great Lakes Navy,AP
1944,18,Fort Pierce,AP
1944,19,St. Mary's Pre-Flight,AP
1944,20,Second Air Force,AP
1945,1,Army,AP
1945,2,Alabama,AP
1945,3,Navy,AP
1945,4,Indiana,AP
1945,5,Oklahoma St.,AP
1945,6,Michigan,AP
1945,7,St. Mary's,AP
1945,8,Pennsylvania,AP
1945,9,Notre Dame,AP
1945,10,Texas,AP
1945,11,USC,AP
1945,12,Ohio State,AP
1945,13,Duke,AP
1945,14,Tennessee,AP
1945,15,LSU,AP
1945,16,Holy Cross,AP
1945,17,Tulsa,AP
1945,18,Georgia,AP
1945,19,Wake Forest,AP
1945,20,Columbia,AP
1946,1,Notre Dame,AP
1946,2,Army,AP
1946,3,Georgia,AP
1946,4,UCLA,AP
1946,5,Illinois,AP
1946,6,Michigan,AP
1946,7,Tennessee,AP
1946,8,LSU,AP
