season,week,datex,rank,school,date
1936,1,13442,1,Minnesota,1936x10x19
1936,1,13442,2,Duke,1936x10x19
1936,1,13442,3,Army,1936x10x19
1936,1,13442,4,Northwestern,1936x10x19
1936,1,13442,5,Purdue,1936x10x19
1936,1,13442,6,USC,1936x10x19
1936,1,13442,7,Notre Dame,1936x10x19
1936,1,13442,8,Washington,1936x10x19
1936,1,13442,9,Pittsburgh,1936x10x19
1936,1,13442,10,Yale,1936x10x19
1936,1,13442,11,Duquesne,1936x10x19
1936,1,13442,12,St. Mary's,1936x10x19
1936,1,13442,13,LSU,1936x10x19
1936,1,13442,14,Texas A&M,1936x10x19
1936,1,13442,15,Nebraska,1936x10x19
1936,1,13442,16,Fordham,1936x10x19
1936,1,13442,17,Holy Cross,1936x10x19
1936,1,13442,18,Tulane,1936x10x19
1936,1,13442,19,SMU,1936x10x19
1936,1,13442,20,Marquette,1936x10x19
1936,2,13449,1,Minnesota,1936x10x26
1936,2,13449,2,Pittsburgh,1936x10x26
1936,2,13449,3,Northwestern,1936x10x26
1936,2,13449,4,Washington,1936x10x26
1936,2,13449,5,Fordham,1936x10x26
1936,2,13449,6,Army,1936x10x26
1936,2,13449,7,USC,1936x10x26
1936,2,13449,8,LSU,1936x10x26
1936,2,13449,9,Tulane,1936x10x26
1936,2,13449,10,Marquette,1936x10x26
1936,2,13449,11,Nebraska,1936x10x26
1936,2,13449,12,Yale,1936x10x26
1936,2,13449,13,Duke,1936x10x26
1936,2,13449,13,Holy Cross,1936x10x26
1936,2,13449,15,SMU,1936x10x26
1936,2,13449,16,Auburn,1936x10x26
1936,2,13449,17,Princeton,1936x10x26
1936,2,13449,17,Purdue,1936x10x26
1936,2,13449,19,Santa Clara,1936x10x26
1936,2,13449,20,Pennsylvania,1936x10x26
1936,2,13449,20,St. Mary's,1936x10x26
1936,3,13456,1,Northwestern,1936x11x02
1936,3,13456,2,Minnesota,1936x11x02
1936,3,13456,3,Fordham,1936x11x02
1936,3,13456,4,Marquette,1936x11x02
1936,3,13456,5,Pittsburgh,1936x11x02
1936,3,13456,6,Washington,1936x11x02
1936,3,13456,7,LSU,1936x11x02
1936,3,13456,8,Nebraska,1936x11x02
1936,3,13456,9,Santa Clara,1936x11x02
1936,3,13456,10,Tulane,1936x11x02
1936,3,13456,11,USC,1936x11x02
1936,3,13456,12,SMU,1936x11x02
1936,3,13456,13,Notre Dame,1936x11x02
1936,3,13456,14,Alabama,1936x11x02
1936,3,13456,15,Duke,1936x11x02
1936,3,13456,15,Pennsylvania,1936x11x02
1936,3,13456,17,Washington St.,1936x11x02
1936,3,13456,18,Dartmouth,1936x11x02
1936,3,13456,18,Tennessee,1936x11x02
1936,3,13456,20,Auburn,1936x11x02
1936,4,13463,1,Northwestern,1936x11x09
1936,4,13463,2,Minnesota,1936x11x09
1936,4,13463,3,Fordham,1936x11x09
1936,4,13463,4,Alabama,1936x11x09
1936,4,13463,5,Pittsburgh,1936x11x09
1936,4,13463,6,Nebraska,1936x11x09
1936,4,13463,7,LSU,1936x11x09
1936,4,13463,8,Marquette,1936x11x09
1936,4,13463,9,Santa Clara,1936x11x09
1936,4,13463,10,Washington,1936x11x09
1936,4,13463,11,Pennsylvania,1936x11x09
1936,4,13463,12,Dartmouth,1936x11x09
1936,4,13463,13,Duke,1936x11x09
1936,4,13463,14,Washington St.,1936x11x09
1936,4,13463,15,Texas A&M,1936x11x09
1936,4,13463,15,USC,1936x11x09
1936,4,13463,17,Holy Cross,1936x11x09
1936,4,13463,18,TCU,1936x11x09
1936,4,13463,19,SMU,1936x11x09
1936,4,13463,19,Temple,1936x11x09
1936,5,13470,1,Northwestern,1936x11x16
1936,5,13470,2,Minnesota,1936x11x16
1936,5,13470,3,Fordham,1936x11x16
1936,5,13470,4,Pittsburgh,1936x11x16
1936,5,13470,5,LSU,1936x11x16
1936,5,13470,6,Washington,1936x11x16
1936,5,13470,7,Marquette,1936x11x16
1936,5,13470,8,Alabama,1936x11x16
1936,5,13470,9,Santa Clara,1936x11x16
1936,5,13470,10,Pennsylvania,1936x11x16
1936,5,13470,11,Notre Dame,1936x11x16
1936,5,13470,12,Dartmouth,1936x11x16
1936,5,13470,13,Nebraska,1936x11x16
1936,5,13470,14,Texas A&M,1936x11x16
1936,5,13470,15,Washington St.,1936x11x16
1936,5,13470,16,Duke,1936x11x16
1936,5,13470,17,Holy Cross,1936x11x16
1936,5,13470,18,Ohio State,1936x11x16
1936,5,13470,19,Tennessee,1936x11x16
1936,5,13470,20,Duquesne,1936x11x16
1936,5,13470,20,Temple,1936x11x16
1936,6,13477,1,Minnesota,1936x11x23
1936,6,13477,2,LSU,1936x11x23
1936,6,13477,3,Alabama,1936x11x23
1936,6,13477,4,Pittsburgh,1936x11x23
1936,6,13477,5,Santa Clara,1936x11x23
1936,6,13477,6,Washington,1936x11x23
1936,6,13477,7,Northwestern,1936x11x23
1936,6,13477,8,Fordham,1936x11x23
1936,6,13477,9,Notre Dame,1936x11x23
1936,6,13477,10,Nebraska,1936x11x23
1936,6,13477,11,Duke,1936x11x23
1936,6,13477,12,Duquesne,1936x11x23
1936,6,13477,13,Pennsylvania,1936x11x23
1936,6,13477,14,Dartmouth,1936x11x23
1936,6,13477,15,Marquette,1936x11x23
1936,6,13477,16,Yale,1936x11x23
1936,6,13477,17,Tennessee,1936x11x23
1936,6,13477,18,TCU,1936x11x23
1936,6,13477,19,Tulane,1936x11x23
1936,6,13477,20,Washington St.,1936x11x23
1936,7,Final,1,Minnesota,1937x01x31
1936,7,Final,2,LSU,1937x01x31
1936,7,Final,3,Pittsburgh,1937x01x31
1936,7,Final,4,Alabama,1937x01x31
1936,7,Final,5,Washington,1937x01x31
1936,7,Final,6,Santa Clara,1937x01x31
1936,7,Final,7,Northwestern,1937x01x31
1936,7,Final,8,Notre Dame,1937x01x31
1936,7,Final,9,Nebraska,1937x01x31
1936,7,Final,10,Pennsylvania,1937x01x31
1936,7,Final,11,Duke,1937x01x31
1936,7,Final,12,Yale,1937x01x31
1936,7,Final,13,Dartmouth,1937x01x31
1936,7,Final,14,Duquesne,1937x01x31
1936,7,Final,15,Fordham,1937x01x31
1936,7,Final,16,TCU,1937x01x31
1936,7,Final,17,Tennessee,1937x01x31
1936,7,Final,18,Arkansas,1937x01x31
1936,7,Final,18,Navy,1937x01x31
1936,7,Final,20,Marquette,1937x01x31
1937,1,13806,1,California,1937x10x18
1937,1,13806,2,Alabama,1937x10x18
1937,1,13806,3,Pittsburgh,1937x10x18
1937,1,13806,4,Minnesota,1937x10x18
1937,1,13806,5,Yale,1937x10x18
1937,1,13806,6,LSU,1937x10x18
1937,1,13806,7,Northwestern,1937x10x18
1937,1,13806,8,Nebraska,1937x10x18
1937,1,13806,9,Fordham,1937x10x18
1937,1,13806,10,Duke,1937x10x18
1937,1,13806,11,USC,1937x10x18
1937,1,13806,12,Ohio State,1937x10x18
1937,1,13806,13,Texas A&M,1937x10x18
1937,1,13806,14,Santa Clara,1937x10x18
1937,1,13806,15,Baylor,1937x10x18
1937,1,13806,16,Wisconsin,1937x10x18
1937,1,13806,17,Syracuse,1937x10x18
1937,1,13806,18,Dartmouth,1937x10x18
1937,1,13806,19,Cornell,1937x10x18
1937,1,13806,20,Auburn,1937x10x18
1937,1,13806,20,Holy Cross,1937x10x18
1937,1,13806,20,Vanderbilt,1937x10x18
1937,2,13813,1,California,1937x10x25
1937,2,13813,2,Pittsburgh,1937x10x25
1937,2,13813,3,Alabama,1937x10x25
1937,2,13813,4,Minnesota,1937x10x25
1937,2,13813,5,Yale,1937x10x25
1937,2,13813,6,Baylor,1937x10x25
1937,2,13813,7,Vanderbilt,1937x10x25
1937,2,13813,8,Ohio State,1937x10x25
1937,2,13813,9,Dartmouth,1937x10x25
1937,2,13813,10,Fordham,1937x10x25
1937,2,13813,11,Nebraska,1937x10x25
1937,2,13813,12,Auburn,1937x10x25
1937,2,13813,13,Duke,1937x10x25
1937,2,13813,14,Santa Clara,1937x10x25
1937,2,13813,15,North Carolina,1937x10x25
1937,2,13813,16,Villanova,1937x10x25
1937,2,13813,17,LSU,1937x10x25
1937,2,13813,18,Detroit,1937x10x25
1937,2,13813,18,Holy Cross,1937x10x25
1937,2,13813,20,Arkansas,1937x10x25
1937,3,13820,1,California,1937x11x01
1937,3,13820,2,Alabama,1937x11x01
1937,3,13820,3,Pittsburgh,1937x11x01
1937,3,13820,4,Baylor,1937x11x01
1937,3,13820,5,Fordham,1937x11x01
1937,3,13820,6,Nebraska,1937x11x01
1937,3,13820,7,Yale,1937x11x01
1937,3,13820,8,Ohio State,1937x11x01
1937,3,13820,9,Dartmouth,1937x11x01
1937,3,13820,10,Santa Clara,1937x11x01
1937,3,13820,11,Duke,1937x11x01
1937,3,13820,12,Notre Dame,1937x11x01
1937,3,13820,13,Villanova,1937x11x01
1937,3,13820,14,Minnesota,1937x11x01
1937,3,13820,15,Tennessee,1937x11x01
1937,3,13820,16,Arkansas,1937x11x01
1937,3,13820,16,Duquesne,1937x11x01
1937,3,13820,18,LSU,1937x11x01
1937,3,13820,19,Northwestern,1937x11x01
1937,3,13820,19,Tulane,1937x11x01
1937,4,13827,1,Pittsburgh,1937x11x08
1937,4,13827,2,California,1937x11x08
1937,4,13827,3,Alabama,1937x11x08
1937,4,13827,4,Fordham,1937x11x08
1937,4,13827,5,Dartmouth,1937x11x08
1937,4,13827,6,Yale,1937x11x08
1937,4,13827,7,Santa Clara,1937x11x08
