yr,cwsno,date,regional,round,gameno,winner,wsc,loser,lsc,inn,notes
1947,1,1947-06-27,CWS,Championship Series,Game 1,California,17,Yale,4,,
1947,2,1947-06-28,CWS,Championship Series,Final,California,8,Yale,7,,California wins CWS
1948,3,1948-06-25,CWS,Championship Series,Game 1,USC,3,Yale,1,,
1948,4,1948-06-26,CWS,Championship Series,Game 2,Yale,8,USC,3,,
1948,5,1948-06-26,CWS,Championship Series,Final,USC,9,Yale,2,,USC wins CWS
1949,6,1949-06-22,CWS,Round 1,Game 1,Wake Forest,2,USC,1,,
1949,7,1949-06-22,CWS,Round 1,Game 2,Texas,7,St. John's,1,,
1949,8,1949-06-23,CWS,Round 2,Game 3,Texas,8,Wake Forest,1,,
1949,9,1949-06-23,CWS,Round 2,Game 4,USC,12,St. John's,4,,St. John's eliminated
1949,10,1949-06-24,CWS,Round 3,Game 5,Wake Forest,2,USC,1,12,USC eliminated
1949,11,1949-06-25,CWS,Final Round,Final,Texas,10,Wake Forest,3,,Texas wins CWS
1950,12,1950-06-15,CWS,Round 1,Game 1,Rutgers,4,Texas,2,,
1950,13,1950-06-15,CWS,Round 1,Game 2,Wisconsin,7,Colorado St.,3,,
1950,14,1950-06-16,CWS,Round 1,Game 3,Washington St.,3,Tufts,1,,
1950,15,1950-06-16,CWS,Round 1,Game 4,Alabama,9,Bradley,2,,
1950,16,1950-06-17,CWS,Round 2,Game 5,Rutgers,5,Wisconsin,3,,
1950,17,1950-06-17,CWS,Round 2,Game 6,Washington St.,9,Alabama,1,,
1950,18,1950-06-18,CWS,Round 2,Game 7,Texas,3,Colorado St.,1,,Colorado St. eliminated
1950,19,1950-06-18,CWS,Round 2,Game 8,Tufts,5,Bradley,4,,Bradley eliminated
1950,20,1950-06-19,CWS,Round 3,Game 9,Washington St.,3,Rutgers,1,10,
1950,21,1950-06-19,CWS,Round 3,Game 10,Texas,7,Tufts,0,,Tufts eliminated
1950,22,1950-06-20,CWS,Round 3,Game 11,Wisconsin,3,Alabama,1,,Alabama eliminated
1950,23,1950-06-20,CWS,Round 4,Game 12,Texas,12,Washington St.,1,,
1950,24,1950-06-21,CWS,Round 4,Game 13,Rutgers,16,Wisconsin,2,,Wisconsin eliminated
1950,25,1950-06-22,CWS,Round 5,Game 14,Texas,15,Rutgers,9,,Rutgers elminated
1950,26,1950-06-23,CWS,Final Round,Final,Texas,3,Washington St.,0,,Texas wins CWS
1951,27,1951-06-13,CWS,Round 1,Game 1,USC,4,Princeton,1,,
1951,28,1951-06-13,CWS,Round 1,Game 2,Utah,7,Tennessee,1,,
1951,29,1951-06-13,CWS,Round 1,Game 3,Oklahoma,9,Ohio State,8,10,
1951,30,1951-06-13,CWS,Round 1,Game 4,Springfield,5,Texas A&M,1,,
1951,31,1951-06-14,CWS,Round 2,Game 5,Tennessee,3,Princeton,2,,Princeton eliminated
1951,32,1951-06-14,CWS,Round 2,Game 6,Texas A&M,3,Ohio State,2,,Ohio State eliminated
1951,33,1951-06-14,CWS,Round 2,Game 7,USC,8,Utah,2,,
1951,34,1951-06-14,CWS,Round 2,Game 8,Oklahoma,7,Springfield,1,,
1951,35,1951-06-15,CWS,Round 3,Game 9,Tennessee,2,Springfield,0,,Springfield eliminated
1951,36,1951-06-15,CWS,Round 3,Game 10,Utah,15,Texas A&M,8,,Texas A&M eliminated
1951,37,1951-06-15,CWS,Round 3,Game 11,Oklahoma,4,USC,1,,
1951,38,1951-06-16,CWS,Round 4,Game 12,Tennessee,5,Utah,4,,Utah eliminated
1951,39,1951-06-16,CWS,Round 5,Game 13,Tennessee,9,USC,8,,USC eliminated
1951,40,1951-06-17,CWS,Final Round,Final,Oklahoma,3,Tennessee,2,,Oklahoma wins CWS
1952,41,1952-06-12,CWS,Round 1,Game 1,Penn State,5,Texas,3,,
1952,42,1952-06-12,CWS,Round 1,Game 2,Duke,18,Oregon St.,7,,
1952,43,1952-06-12,CWS,Round 1,Game 3,Holy Cross,5,Western Mich.,1,,
1952,44,1952-06-12,CWS,Round 1,Game 4,Missouri,15,Northern Colo.,1,,
1952,45,1952-06-13,CWS,Round 2,Game 5,Texas,10,Oregon St.,1,,Oregon St. eliminated
1952,46,1952-06-13,CWS,Round 2,Game 6,Western Mich.,8,Northern Colo.,6,,Northern Colo. eliminated
1952,47,1952-06-13,CWS,Round 2,Game 7,Penn State,12,Duke,7,,
1952,48,1952-06-13,CWS,Round 2,Game 8,Missouri,1,Holy Cross,0,,
1952,49,1952-06-14,CWS,Round 3,Game 9,Holy Cross,2,Texas,1,,Texas eliminated
1952,50,1952-06-14,CWS,Round 3,Game 10,Western Mich.,5,Duke,1,,Duke eliminated
1952,51,1952-06-14,CWS,Round 3,Game 11,Missouri,3,Penn State,2,,
1952,52,1952-06-15,CWS,Round 4,Game 12,Holy Cross,15,Western Mich.,3,,Western Mich. eliminated
1952,53,1952-06-15,CWS,Round 5,Game 13,Holy Cross,15,Penn State,4,,Penn State eliminated
1952,54,1952-06-16,CWS,Final Round,Game 14,Holy Cross,7,Missouri,3,,
1952,55,1952-06-16,CWS,Final Round,Final,Holy Cross,8,Missouri,4,,Holy Cross wins CWS
1953,56,1953-06-11,CWS,Round 1,Game 1,Lafayette,6,Northern Colo.,2,,
1953,57,1953-06-11,CWS,Round 1,Game 2,Texas,2,Duke,1,,
1953,58,1953-06-11,CWS,Round 1,Game 3,Michigan,4,Stanford,0,,
1953,59,1953-06-11,CWS,Round 1,Game 4,Boston College,4,Houston,1,,
1953,60,1953-06-12,CWS,Round 2,Game 5,Duke,3,Northern Colo.,2,,Northern Colo. eliminated
1953,61,1953-06-12,CWS,Round 2,Game 6,Stanford,7,Houston,6,,Houston eliminated
1953,62,1953-06-12,CWS,Round 2,Game 7,Texas,7,Lafayette,3,,
1953,63,1953-06-12,CWS,Round 2,Game 8,Michigan,6,Boston College,2,,
1953,64,1953-06-13,CWS,Round 3,Game 9,Boston College,7,Duke,6,11,Duke eliminated
1953,65,1953-06-13,CWS,Round 3,Game 10,Lafayette,4,Stanford,3,,Stanford eliminated
1953,66,1953-06-13,CWS,Round 3,Game 11,Michigan,12,Texas,5,,
1953,67,1953-06-14,CWS,Round 4,Game 12,Lafayette,2,Boston College,1,11,Boston Coll. eliminated
1953,68,1953-06-14,CWS,Round 4,Game 13,Texas,6,Michigan,4,,
1953,69,1953-06-15,CWS,Round 5,Game 14,Texas,13,Lafayette,3,,Lafayette eliminated
1953,70,1953-06-16,CWS,Final Round,Final,Michigan,7,Texas,5,,Michigan wins CWS
1954,71,1954-06-10,CWS,Round 1,Game 1,Michigan St.,16,Massachusetts,3,,
1954,72,1954-06-10,CWS,Round 1,Game 2,Arizona,12,Oregon,1,,
1954,73,1954-06-10,CWS,Round 1,Game 3,Rollins,9,Oklahoma St.,5,11,
1954,74,1954-06-10,CWS,Round 1,Game 4,Missouri,5,Lafayette,3,,
1954,75,1954-06-11,CWS,Round 2,Game 5,Massachusetts,5,Oregon,3,,Oregon eliminated
1954,76,1954-06-11,CWS,Round 2,Game 6,Oklahoma St.,4,Lafayette,2,,Lafayette eliminated
1954,77,1954-06-11,CWS,Round 2,Game 7,Michigan St.,2,Arizona,1,,
1954,78,1954-06-11,CWS,Round 2,Game 8,Rollins,4,Missouri,1,,
1954,79,1954-06-12,CWS,Round 3,Game 9,Missouri,8,Massachusetts,1,,Massachusetts eliminated
1954,80,1954-06-12,CWS,Round 3,Game 10,Oklahoma St.,5,Arizona,4,14,Arizona eliminated
1954,81,1954-06-12,CWS,Round 3,Game 11,Rollins,5,Michigan St.,4,,
1954,82,1954-06-13,CWS,Round 4,Game 12,Missouri,7,Oklahoma St.,3,,Oklahoma St. eliminated
1954,83,1954-06-13,CWS,Round 4,Game 13,Michigan St.,3,Rollins,2,10,
1954,84,1954-06-14,CWS,Round 5,Game 14,Missouri,4,Michigan St.,3,,Michigan St. eliminated
1954,85,1954-06-16,CWS,Final Round,Final,Missouri,4,Rollins,1,,Missouri wins CWS
1955,86,1955-06-10,CWS,Round 1,Game 1,Wake Forest,1,Colgate,0,,
1955,87,1955-06-10,CWS,Round 1,Game 2,Northern Colo.,2,USC,1,,
1955,88,1955-06-10,CWS,Round 1,Game 3,Western Mich.,4,Arizona,1,,
1955,89,1955-06-10,CWS,Round 1,Game 4,Oklahoma St.,5,Springfield,1,,
1955,90,1955-06-12,CWS,Round 2,Game 5,Colgate,6,USC,4,,USC eliminated
1955,91,1955-06-12,CWS,Round 2,Game 6,Arizona,6,Springfield,0,,Springfield eliminated
1955,92,1955-06-12,CWS,Round 2,Game 7,Wake Forest,10,Northern Colo.,0,,
1955,93,1955-06-12,CWS,Round 2,Game 8,Western Mich.,5,Oklahoma St.,4,,
1955,94,1955-06-13,CWS,Round 3,Game 9,Oklahoma St.,4,Colgate,2,,Colgate eliminated
1955,95,1955-06-13,CWS,Round 3,Game 10,Arizona,20,Northern Colo.,0,,Northern Colo. eliminated
1955,96,1955-06-13,CWS,Round 3,Game 11,Western Mich.,9,Wake Forest,0,,
1955,97,1955-06-14,CWS,Round 4,Game 12,Oklahoma St.,5,Arizona,4,12,Arizona eliminated
1955,98,1955-06-14,CWS,Round 4,Game 13,Wake Forest,10,Western Mich.,7,,
1955,99,1955-06-15,CWS,Round 5,Game 14,Wake Forest,2,Oklahoma St.,0,,Oklahoma St. eliminated
1955,100,1955-06-16,CWS,Final Round,Final,Wake Forest,7,Western Mich.,6,,Wake Forest wins CWS
1956,101,1956-06-09,CWS,Round 1,Game 1,Arizona,3,NYU,0,,
1956,102,1956-06-09,CWS,Round 1,Game 2,Minnesota,4,Wyoming,0,,
1956,103,1956-06-09,CWS,Round 1,Game 3,Mississippi,13,New Hampshire,12,,
1956,104,1956-06-09,CWS,Round 1,Game 4,Bradley,4,Washington St.,3,,
1956,105,1956-06-10,CWS,Round 2,Game 5,Wyoming,8,NYU,2,,New York U. eliminated
1956,106,1956-06-10,CWS,Round 2,Game 6,New Hampshire,6,Washington St.,3,,Washington St. eliminated
1956,107,1956-06-10,CWS,Round 2,Game 7,Minnesota,3,Arizona,1,,
1956,108,1956-06-10,CWS,Round 2,Game 8,Mississippi,4,Bradley,0,,
1956,109,1956-06-11,CWS,Round 3,Game 9,Bradley,12,Wyoming,8,,Wyoming eliminated
1956,110,1956-06-11,CWS,Round 3,Game 10,Arizona,1,New Hampshire,0,,New Hampshire eliminated
1956,111,1956-06-11,CWS,Round 3,Game 11,Minnesota,13,Mississippi,5,,
1956,112,1956-06-12,CWS,Round 4,Game 12,Arizona,7,Mississippi,3,,Mississippi eliminated
1956,113,1956-06-12,CWS,Round 4,Game 13,Minnesota,8,Bradley,3,,Bradley eliminated
1956,114,1956-06-13,CWS,Final Round,Game 14,Arizona,10,Minnesota,4,,
1956,115,1956-06-14,CWS,Final Round,Final,Minnesota,12,Arizona,1,,Minnesota wins CWS
1957,116,1957-06-08,CWS,Round 1,Game 1,Texas,3,Connecticut,0,,
1957,117,1957-06-08,CWS,Round 1,Game 2,Penn State,7,Florida St.,0,,
1957,118,1957-06-08,CWS,Round 1,Game 3,California,4,Northern Colo.,0,,
1957,119,1957-06-08,CWS,Round 1,Game 4,Iowa State,13,Notre Dame,8,10,
1957,120,1957-06-09,CWS,Round 2,Game 5,Connecticut,5,Florida St.,3,,Florida St. eliminated
1957,121,1957-06-09,CWS,Round 2,Game 6,Notre Dame,23,Northern Colo.,2,,Northern Colo. eliminated
1957,122,1957-06-09,CWS,Round 2,Game 7,Penn State,4,Texas,1,,
1957,123,1957-06-09,CWS,Round 2,Game 8,California,8,Iowa State,2,,
1957,124,1957-06-10,CWS,Round 3,Game 9,Iowa State,5,Connecticut,2,,Connecticut eliminated
1957,125,1957-06-10,CWS,Round 3,Game 10,Notre Dame,9,Texas,0,,Texas eliminated
1957,126,1957-06-10,CWS,Round 3,Game 11,California,8,Penn State,0,,
1957,127,1957-06-11,CWS,Round 4,Game 12,Penn State,5,Notre Dame,4,,Notre Dame eliminated
1957,128,1957-06-11,CWS,Round 4,Game 13,California,9,Iowa State,1,,Iowa State eliminated
1957,129,1957-06-12,CWS,Final Round,Final,California,1,Penn State,0,,California wins CWS
1958,130,1958-06-13,CWS,Round 1,Game 1,Missouri,3,Western Mich.,1,,
1958,131,1958-06-14,CWS,Round 1,Game 2,Northern Colo.,10,Lafayette,5,,
1958,132,1958-06-14,CWS,Round 1,Game 3,Holy Cross,3,USC,0,,
1958,133,1958-06-14,CWS,Round 1,Game 4,Clemson,4,Arizona,1,,
1958,134,1958-06-15,CWS,Round 2,Game 5,Western Mich.,4,Lafayette,3,10,Lafayette eliminated
1958,135,1958-06-15,CWS,Round 2,Game 6,USC,4,Arizona,0,,Arizona eliminated
1958,136,1958-06-15,CWS,Round 2,Game 7,Missouri,11,Northern Colo.,2,,
1958,137,1958-06-15,CWS,Round 2,Game 8,Holy Cross,17,Clemson,4,,
1958,138,1958-06-16,CWS,Round 3,Game 9,Western Mich.,5,Clemson,3,,Clemson eliminated
1958,139,1958-06-16,CWS,Round 3,Game 10,USC,12,Northern Colo.,1,,Northern Colo. eliminated
1958,140,1958-06-16,CWS,Round 3,Game 11,Missouri,4,Holy Cross,1,,
1958,141,1958-06-17,CWS,Round 4,Game 12,USC,6,Holy Cross,2,,Holy Cross eliminated
1958,142,1958-06-17,CWS,Round 4,Game 13,Missouri,3,Western Mich.,1,,Western Mich. eliminated
1958,143,1958-06-18,CWS,Final Round,Game 14,USC,7,Missouri,0,,
1958,144,1958-06-19,CWS,Final Round,Final,USC,8,Missouri,7,12,USC wins CWS
1959,145,1959-06-12,CWS,Round 1,Game 1,Oklahoma St.,10,Western Mich.,2,,
1959,146,1959-06-13,CWS,Round 1,Game 2,Penn State,5,Connecticut,3,,
1959,147,1959-06-13,CWS,Round 1,Game 3,Arizona,3,Clemson,2,12,
1959,148,1959-06-13,CWS,Round 1,Game 4,Fresno St.,6,Northern Colo.,5,,
1959,149,1959-06-14,CWS,Round 2,Game 5,Western Mich.,14,Connecticut,6,,Connecticut eliminated
1959,150,1959-06-14,CWS,Round 2,Game 6,Clemson,7,Northern Colo.,1,,Northern Colo. eliminated
1959,151,1959-06-14,CWS,Round 2,Game 7,Oklahoma St.,8,Penn State,6,,
1959,152,1959-06-14,CWS,Round 2,Game 8,Arizona,5,Fresno St.,1,,
1959,153,1959-06-15,CWS,Round 3,Game 9,Fresno St.,7,Western Mich.,2,,Western Mich. eliminated
1959,154,1959-06-15,CWS,Round 3,Game 10,Penn State,7,Clemson,0,,Clemson eliminated
1959,155,1959-06-15,CWS,Round 3,Game 11,Arizona,5,Oklahoma St.,3,,
1959,156,1959-06-16,CWS,Round 4,Game 12,Oklahoma St.,4,Penn State,3,,Penn State eliminated
1959,157,1959-06-16,CWS,Round 4,Game 13,Fresno St.,2,Arizona,0,,
1959,158,1959-06-17,CWS,Round 5,Game 14,Oklahoma St.,4,Fresno St.,0,,Fresno St. eliminated
1959,159,1959-06-18,CWS,Final Round,Final,Oklahoma St.,5,Arizona,3,,Oklahoma St. wins CWS
1960,160,1960-06-13,CWS,Round 1,Game 1,Arizona,2,Oklahoma St.,1,,
1960,161,1960-06-14,CWS,Round 1,Game 2,Minnesota,8,North Carolina,3,,
1960,162,1960-06-14,CWS,Round 1,Game 3,Boston College,8,Northern Colo.,3,,
1960,163,1960-06-14,CWS,Round 1,Game 4,USC,3,St. John's,1,,
1960,164,1960-06-15,CWS,Round 2,Game 5,Oklahoma St.,7,North Carolina,0,,North Carolina eliminated
1960,165,1960-06-15,CWS,Round 2,Game 6,St. John's,3,Northern Colo.,2,13,Northern Colo. eliminated
1960,166,1960-06-15,CWS,Round 2,Game 7,Minnesota,8,Arizona,5,,
1960,167,1960-06-16,CWS,Round 2,Game 8,USC,5,Boston College,2,,
1960,168,1960-06-17,CWS,Round 3,Game 9,Oklahoma St.,1,Boston College,0,,Boston Coll. eliminated
1960,169,1960-06-17,CWS,Round 3,Game 10,Arizona,11,St. John's,4,,St. John's eliminated
1960,170,1960-06-17,CWS,Round 3,Game 11,Minnesota,12,USC,11,10,
1960,171,1960-06-18,CWS,Round 4,Game 12,Minnesota,3,Oklahoma St.,1,,Oklahoma St. eliminated
1960,172,1960-06-18,CWS,Round 4,Game 13,USC,13,Arizona,1,,Arizona eliminated
1960,173,1960-06-19,CWS,Final Round,Game 14,USC,4,Minnesota,2,11,
1960,174,1960-06-20,CWS,Final Round,Final,Minnesota,2,USC,1,10,Minnesota wins CWS
1961,175,1961-06-09,CWS,Round 1,Game 1,Oklahoma St.,3,Duke,2,,
1961,176,1961-06-10,CWS,Round 1,Game 2,Syracuse,12,Northern Colo.,5,,
1961,177,1961-06-10,CWS,Round 1,Game 3,Boston College,3,Western Mich.,2,,
