sport,year,name1,name2,round,game,team1,score1,team2,score2,ot,...12,...13,check1,check2
HKY,1948,Frozen Four,Semifinals,4,201,Dartmouth,8,Colorado Coll.,4,,,,69,62
HKY,1948,Frozen Four,Semifinals,4,202,Michigan,6,Boston College,4,ot,,,404,195
HKY,1948,Frozen Four,Championship,1,101,Dartmouth,4,Michigan,8,,,,69,404
HKY,1949,Frozen Four,Semifinals,4,201,Boston College,7,Colorado Coll.,3,,,,195,62
HKY,1949,Frozen Four,Semifinals,4,202,Michigan,2,Dartmouth,4,,,,404,69
HKY,1949,Frozen Four,Third Place,3,150,Colorado Coll.,4,Michigan,10,,,,62,404
HKY,1949,Frozen Four,Championship,1,101,Boston College,4,Dartmouth,3,,,,195,69
HKY,1950,Frozen Four,Semifinals,4,201,Boston College,3,Colorado Coll.,10,,,,195,62
HKY,1950,Frozen Four,Semifinals,4,202,Michigan,3,Boston U.,4,,,,404,174
HKY,1950,Frozen Four,Third Place,3,150,Boston College,6,Michigan,10,,,,195,404
HKY,1950,Frozen Four,Championship,1,101,Colorado Coll.,13,Boston U.,4,,,,62,174
HKY,1951,Frozen Four,Semifinals,4,201,Brown,8,Colorado Coll.,4,,,,116,62
HKY,1951,Frozen Four,Semifinals,4,202,Michigan,8,Boston U.,2,,,,404,174
HKY,1951,Frozen Four,Third Place,3,150,Colorado Coll.,4,Boston U.,7,,,,62,174
HKY,1951,Frozen Four,Championship,1,101,Brown,1,Michigan,7,,,,116,404
HKY,1952,Frozen Four,Semifinals,4,202,Michigan,9,St. Lawrence,3,,,,404,31
HKY,1952,Frozen Four,Semifinals,4,202,Colorado Coll.,4,Yale,3,,,,62,68
HKY,1952,Frozen Four,Third Place,3,150,St. Lawrence,1,Yale,4,,,,31,68
HKY,1952,Frozen Four,Championship,1,101,Colorado Coll.,1,Michigan,4,,,,62,404
HKY,1953,Frozen Four,Semifinals,4,201,Rensselaer,2,Minnesota,3,,,,18,312
HKY,1953,Frozen Four,Semifinals,4,202,Michigan,14,Boston U.,2,,,,404,174
HKY,1953,Frozen Four,Third Place,3,150,Rensselaer,6,Boston U.,3,,,,18,174
HKY,1953,Frozen Four,Championship,1,101,Minnesota,3,Michigan,7,,,,312,404
HKY,1954,Frozen Four,Semifinals,4,201,Boston College,1,Minnesota,14,,,,195,312
HKY,1954,Frozen Four,Semifinals,4,202,Michigan,4,Rensselaer,6,,,,404,18
HKY,1954,Frozen Four,Third Place,3,150,Boston College,2,Michigan,7,,,,195,404
HKY,1954,Frozen Four,Championship,1,101,Minnesota,4,Rensselaer,5,ot,,,312,18
HKY,1955,Frozen Four,Semifinals,4,201,Harvard,3,Michigan,7,,,,156,404
HKY,1955,Frozen Four,Semifinals,4,202,Colorado Coll.,2,St. Lawrence,1,,,,62,31
