sport,year,round,event,name1,name2,seed1,team1,score1,seed2,team2,score2,ot,loc
NCAABB,1939,8,EASF,East Regional,Semifinals,,Ohio State,64,,Wake Forest,52,,
NCAABB,1939,8,EASF,East Regional,Semifinals,,Villanova,42,,Brown,30,,
NCAABB,1939,8,WESF,West Regional,Semifinals,,Oklahoma,50,,Utah State,39,,
NCAABB,1939,8,WESF,West Regional,Semifinals,,Oregon,56,,Texas,41,,
NCAABB,1939,5,WE3rd,West Regional,Third Place,,Utah State,51,,Texas,49,,
NCAABB,1939,4,EAFinal,East Regional,Final,,Ohio State,53,,Villanova,36,,
NCAABB,1939,4,WEFinal,West Regional,Final,,Oregon,55,,Oklahoma,37,,
NCAABB,1939,2,NCAAFinal,Championship,,,Oregon,46,,Ohio State,33,,Evanston
NCAABB,1940,8,EASF,East Regional,Semifinals,,Duquesne,30,,Western Ky.,29,,
NCAABB,1940,8,EASF,East Regional,Semifinals,,Indiana,48,,Springfield,24,,
NCAABB,1940,8,WESF,West Regional,Semifinals,,Kansas,50,,Rice,44,,
NCAABB,1940,8,WESF,West Regional,Semifinals,,USC,38,,Colorado,32,,
NCAABB,1940,5,WE3rd,West Regional,Third Place,,Rice,60,,Colorado,56,OT,
NCAABB,1940,4,EAFinal,East Regional,Final,,Indiana,39,,Duquesne,30,,
NCAABB,1940,4,WEFinal,West Regional,Final,,Kansas,43,,USC,42,,
NCAABB,1940,2,NCAAFinal,Championship,,,Indiana,60,,Kansas,42,,Kansas City
NCAABB,1941,8,EASF,East Regional,Semifinals,,Pittsburgh,26,,North Carolina,20,,
NCAABB,1941,8,EASF,East Regional,Semifinals,,Wisconsin,51,,Dartmouth,50,,
NCAABB,1941,8,WESF,West Regional,Semifinals,,Arkansas,52,,Wyoming,40,,
NCAABB,1941,8,WESF,West Regional,Semifinals,,Washington St.,48,,Creighton,39,,
NCAABB,1941,5,EA3rd,East Regional,Third Place,,Dartmouth,60,,North Carolina,59,,
NCAABB,1941,5,WE3rd,West Regional,Third Place,,Creighton,45,,Wyoming,44,,
NCAABB,1941,4,EAFinal,East Regional,Final,,Wisconsin,36,,Pittsburgh,30,,
NCAABB,1941,4,WEFinal,West Regional,Final,,Washington St.,64,,Arkansas,53,,
NCAABB,1941,2,NCAAFinal,Championship,,,Wisconsin,39,,Washington St.,34,,Kansas City
NCAABB,1942,8,EASF,East Regional,Semifinals,,Dartmouth,44,,Penn State,39,,
