year,name1,round,game,seed1,team1,score1,seed2,team2,score2,ot
1939,East Regional,8,301,99,Villanova,42,99,Brown,30,
1939,East Regional,8,302,99,Ohio State,64,99,Wake Forest,52,
1939,West Regional,8,303,99,Oregon,56,99,Texas,41,
1939,West Regional,8,304,99,Oklahoma,50,99,Utah State,39,
1939,West Regional,5,253,99,Utah State,51,99,Texas,49,
1939,East Regional,4,201,99,Villanova,36,99,Ohio State,53,
1939,West Regional,4,202,99,Oregon,55,99,Oklahoma,37,
1939,Championship,2,101,99,Ohio State,33,99,Oregon,46,
1940,East Regional,8,301,99,Indiana,48,99,Springfield,24,
1940,East Regional,8,302,99,Duquesne,30,99,Western Ky.,29,
1940,West Regional,8,303,99,USC,38,99,Colorado,32,
1940,West Regional,8,304,99,Kansas,50,99,Rice,44,
1940,West Regional,5,253,99,Rice,60,99,Colorado,56,OT
1940,East Regional,4,201,99,Indiana,39,99,Duquesne,30,
1940,West Regional,4,202,99,USC,42,99,Kansas,43,
1940,Championship,2,101,99,Indiana,60,99,Kansas,42,
1941,East Regional,8,301,99,Wisconsin,51,99,Dartmouth,50,
1941,East Regional,8,302,99,Pittsburgh,26,99,North Carolina,20,
1941,West Regional,8,303,99,Arkansas,52,99,Wyoming,40,
1941,West Regional,8,304,99,Washington St.,48,99,Creighton,39,
1941,East Regional,5,251,99,Dartmouth,60,99,North Carolina,59,
1941,West Regional,5,253,99,Creighton,45,99,Wyoming,44,
1941,East Regional,4,201,99,Wisconsin,36,99,Pittsburgh,30,
1941,West Regional,4,202,99,Arkansas,53,99,Washington St.,64,
1941,Championship,2,101,99,Wisconsin,39,99,Washington St.,34,
1942,East Regional,8,301,99,Dartmouth,44,99,Penn State,39,
1942,East Regional,8,302,99,Kentucky,46,99,Illinois,44,
1942,West Regional,8,303,99,Stanford,53,99,Rice,47,
1942,West Regional,8,304,99,Colorado,46,99,Kansas,44,
1942,East Regional,5,251,99,Penn State,41,99,Illinois,34,
1942,West Regional,5,253,99,Kansas,55,99,Rice,53,
1942,East Regional,4,201,99,Dartmouth,47,99,Kentucky,28,
1942,West Regional,4,202,99,Stanford,46,99,Colorado,35,
1942,Championship,2,101,99,Dartmouth,38,99,Stanford,53,
1943,East Regional,8,301,99,Georgetown,55,99,NYU,36,
1943,East Regional,8,302,99,DePaul,46,99,Dartmouth,35,
1943,West Regional,8,303,99,Texas,59,99,Washington,55,
1943,West Regional,8,304,99,Wyoming,53,99,Oklahoma,50,
1943,East Regional,5,251,99,Dartmouth,51,99,NYU,49,
1943,West Regional,5,253,99,Oklahoma,48,99,Washington,43,
1943,East Regional,4,201,99,Georgetown,53,99,DePaul,49,
1943,West Regional,4,202,99,Texas,54,99,Wyoming,58,
1943,Championship,2,101,99,Georgetown,34,99,Wyoming,46,
1944,East Regional,8,301,99,Dartmouth,63,99,Catholic,38,
1944,East Regional,8,302,99,Ohio State,57,99,Temple,47,
1944,West Regional,8,303,99,Iowa State,44,99,Pepperdine,39,
1944,West Regional,8,304,99,Utah,45,99,Missouri,35,
1944,East Regional,5,251,99,Temple,55,99,Catholic,35,
1944,West Regional,5,253,99,Missouri,61,99,Pepperdine,46,
1944,East Regional,4,201,99,Dartmouth,60,99,Ohio State,53,
1944,West Regional,4,202,99,Iowa State,31,99,Utah,40,
1944,Championship,2,101,99,Dartmouth,40,99,Utah,42,
1945,East Regional,8,301,99,NYU,59,99,Tufts,44,
1945,East Regional,8,302,99,Ohio State,45,99,Kentucky,37,
1945,West Regional,8,303,99,Arkansas,79,99,Oregon,76,
1945,West Regional,8,304,99,Oklahoma St.,62,99,Utah,37,
1945,East Regional,5,251,99,Kentucky,66,99,Tufts,56,
1945,West Regional,5,253,99,Oregon,69,99,Utah,66,
1945,East Regional,4,201,99,NYU,70,99,Ohio State,65,OT
1945,West Regional,4,202,99,Arkansas,41,99,Oklahoma St.,68,
1945,Championship,2,101,99,NYU,45,99,Oklahoma St.,49,
1946,East Regional,8,301,99,Ohio State,46,99,Harvard,38,
1946,East Regional,8,302,99,North Carolina,57,99,NYU,49,
1946,West Regional,8,303,99,Oklahoma St.,44,99,Baylor,29,
1946,West Regional,8,304,99,California,50,99,Colorado,44,
1946,East Regional,5,251,99,NYU,67,99,Harvard,61,
1946,West Regional,5,253,99,Colorado,59,99,Baylor,44,
1946,East Regional,4,201,99,Ohio State,57,99,North Carolina,60,OT
1946,West Regional,4,202,99,Oklahoma St.,52,99,California,35,
1946,Third Place,3,151,99,Ohio State,63,99,California,45,
1946,Championship,2,101,99,North Carolina,40,99,Oklahoma St.,43,
1947,East Regional,8,301,99,Holy Cross,55,99,Navy,47,
1947,East Regional,8,302,99,CCNY,70,99,Wisconsin,56,
1947,West Regional,8,303,99,Texas,42,99,Wyoming,40,
1947,West Regional,8,304,99,Oklahoma,56,99,Oregon St.,54,
1947,East Regional,5,251,99,Wisconsin,50,99,Navy,49,
1947,West Regional,5,253,99,Oregon St.,63,99,Wyoming,46,
1947,East Regional,4,201,99,Holy Cross,60,99,CCNY,45,
1947,West Regional,4,202,99,Texas,54,99,Oklahoma,55,
1947,Third Place,3,151,99,CCNY,50,99,Texas,54,
1947,Championship,2,101,99,Holy Cross,58,99,Oklahoma,47,
1948,East Regional,8,301,99,Kentucky,76,99,Columbia,53,
1948,East Regional,8,302,99,Holy Cross,63,99,Michigan,45,
1948,West Regional,8,303,99,Kansas St.,58,99,Wyoming,48,
1948,West Regional,8,304,99,Baylor,64,99,Washington,62,
1948,East Regional,5,251,99,Michigan,66,99,Columbia,49,
1948,West Regional,5,253,99,Washington,57,99,Wyoming,47,
1948,East Regional,4,201,99,Kentucky,60,99,Holy Cross,52,
1948,West Regional,4,202,99,Kansas St.,52,99,Baylor,60,
1948,Third Place,3,151,99,Holy Cross,60,99,Kansas St.,54,
1948,Championship,2,101,99,Kentucky,58,99,Baylor,42,
1949,East Regional,8,301,99,Illinois,71,99,Yale,67,
1949,East Regional,8,302,99,Kentucky,85,99,Villanova,72,
1949,West Regional,8,303,99,Oklahoma St.,40,99,Wyoming,39,
1949,West Regional,8,304,99,Oregon St.,56,99,Arkansas,38,
1949,East Regional,5,251,99,Villanova,78,99,Yale,67,
1949,West Regional,5,253,99,Arkansas,61,99,Wyoming,48,
1949,East Regional,4,201,99,Illinois,47,99,Kentucky,76,
1949,West Regional,4,202,99,Oklahoma St.,55,99,Oregon St.,30,
1949,Third Place,3,151,99,Illinois,57,99,Oregon St.,53,
1949,Championship,2,101,99,Kentucky,46,99,Oklahoma St.,36,
1950,East Regional,8,302,99,NC State,87,99,Holy Cross,74,
1950,East Regional,8,301,99,CCNY,56,99,Ohio State,55,
1950,West Regional,8,303,99,Baylor,56,99,BYU,55,
1950,West Regional,8,304,99,Bradley,73,99,UCLA,59,
1950,East Regional,5,251,99,Ohio State,72,99,Holy Cross,52,
1950,West Regional,5,253,99,BYU,83,99,UCLA,62,
1950,East Regional,4,201,99,CCNY,78,99,NC State,73,
1950,West Regional,4,202,99,Baylor,66,99,Bradley,68,
1950,Third Place,3,151,99,NC State,53,99,Baylor,41,
1950,Championship,2,101,99,CCNY,71,99,Bradley,68,
1951,East Regional,16,401,99,Columbia,71,99,Illinois,79,
1951,East Regional,16,402,99,NC State,67,99,Villanova,62,
1951,East Regional,16,403,99,Kentucky,79,99,Louisville,68,
1951,East Regional,16,404,99,St. John's,63,99,Connecticut,52,
1951,West Regional,16,405,99,Kansas St.,61,99,Arizona,59,
1951,West Regional,16,406,99,BYU,68,99,San Jose St.,61,
1951,West Regional,16,407,99,Oklahoma St.,50,99,Montana St.,46,
1951,West Regional,16,408,99,Washington,62,99,Texas A&M,40,
1951,East Regional,8,301,99,Illinois,84,99,NC State,70,
1951,East Regional,8,302,99,Kentucky,59,99,St. John's,43,
1951,West Regional,8,303,99,Kansas St.,64,99,BYU,54,
1951,West Regional,8,304,99,Oklahoma St.,61,99,Washington,57,
1951,East Regional,5,251,99,St. John's,71,99,NC State,59,
1951,West Regional,5,253,99,Washington,80,99,BYU,67,
1951,East Regional,4,201,99,Illinois,74,99,Kentucky,76,
1951,West Regional,4,202,99,Kansas St.,68,99,Oklahoma St.,44,
1951,Third Place,3,151,99,Illinois,61,99,Oklahoma St.,46,
1951,Championship,2,101,99,Kentucky,68,99,Kansas St.,58,
1952,East I Regional,16,401,99,Kentucky,82,99,Penn State,54,
1952,East I Regional,16,402,99,NC State,49,99,St. John's,60,
1952,East II Regional,16,403,99,Illinois,80,99,Dayton,61,
1952,East II Regional,16,404,99,Princeton,49,99,Duquesne,60,
1952,West I Regional,16,405,99,Kansas,68,99,TCU,64,
1952,West I Regional,16,406,99,St. Louis,62,99,New Mexico St.,53,
1952,West II Regional,16,407,99,UCLA,59,99,Santa Clara,68,
1952,West II Regional,16,408,99,Wyoming,54,99,Oklahoma City,48,
1952,East I Regional,9,351,99,NC State,69,99,Penn State,60,
1952,East II Regional,9,352,99,Dayton,77,99,Princeton,61,
1952,West I Regional,9,353,99,TCU,61,99,New Mexico St.,44,
1952,West II Regional,9,354,99,Oklahoma City,55,99,UCLA,53,
1952,East I Regional,8,301,99,Kentucky,57,99,St. John's,64,
1952,East II Regional,8,302,99,Illinois,74,99,Duquesne,68,
1952,West I Regional,8,303,99,Kansas,74,99,St. Louis,55,
1952,West II Regional,8,304,99,Santa Clara,56,99,Wyoming,53,
1952,Final Four,4,201,99,St. John's,61,99,Illinois,59,
1952,Final Four,4,202,99,Kansas,74,99,Santa Clara,55,
1952,Final Four,3,151,99,Illinois,67,99,Santa Clara,64,
1952,Final Four,2,101,99,St. John's,63,99,Kansas,80,
1953,East I Regional,32,502,99,Lebanon Valley,80,99,Fordham,67,
1953,East I Regional,32,503,99,Holy Cross,87,99,Navy,74,
1953,East II Regional,32,506,99,Notre Dame,72,99,Eastern Ky.,57,
1953,East II Regional,32,507,99,DePaul,74,99,Miami Ohio,72,
1953,West II Regional,32,510,99,Seattle,88,99,Idaho St.,77,
1953,West II Regional,32,511,99,Santa Clara,81,99,Hardin Simmons,56,
1953,East I Regional,16,401,99,LSU,89,99,Lebanon Valley,76,
1953,East I Regional,16,402,99,Holy Cross,79,99,Wake Forest,71,
1953,East II Regional,16,403,99,Pennsylvania,57,99,Notre Dame,69,
1953,East II Regional,16,404,99,DePaul,80,99,Indiana,82,
1953,West II Regional,16,407,99,Washington,92,99,Seattle,70,
1953,West II Regional,16,408,99,Santa Clara,67,99,Wyoming,52,
1953,West I Regional,16,405,99,TCU,54,99,Oklahoma St.,71,
1953,West I Regional,16,406,99,Kansas,73,99,Oklahoma City,65,
1953,East I Regional,9,351,99,Wake Forest,91,99,Lebanon Valley,71,
1953,East II Regional,9,352,99,Pennsylvania,90,99,DePaul,70,
1953,West I Regional,9,353,99,TCU,58,99,Oklahoma City,56,
1953,West II Regional,9,354,99,Seattle,80,99,Wyoming,64,
1953,East I Regional,8,301,99,LSU,81,99,Holy Cross,73,
1953,East II Regional,8,302,99,Notre Dame,66,99,Indiana,79,
1953,West II Regional,8,304,99,Washington,74,99,Santa Clara,62,
1953,West I Regional,8,303,99,Oklahoma St.,55,99,Kansas,61,
1953,Final Four,4,201,99,LSU,67,99,Indiana,80,
1953,Final Four,4,202,99,Kansas,79,99,Washington,53,
1953,Final Four,3,151,99,LSU,69,99,Washington,88,
1953,Final Four,2,101,99,Indiana,69,99,Kansas,68,
1954,East II Regional,32,506,99,Toledo,50,99,Penn State,62,
1954,East II Regional,32,507,99,Notre Dame,80,99,Loyola LA,70,
1954,East I Regional,32,502,99,Connecticut,80,99,Navy,85,
1954,East I Regional,32,503,99,NC State,75,99,G. Washington,73,
1954,East I Regional,32,504,99,Fordham,74,99,La Salle,76,OT
1954,West I Regional,32,510,99,Oklahoma City,55,99,Bradley,61,
1954,West II Regional,32,514,99,Idaho St.,77,99,Seattle,75,OT
1954,West II Regional,32,515,99,Texas Tech,64,99,Santa Clara,73,
1954,East II Regional,16,403,99,LSU,70,99,Penn State,78,
1954,East II Regional,16,404,99,Notre Dame,65,99,Indiana,64,
1954,East I Regional,16,401,99,Cornell,67,99,Navy,69,
1954,East I Regional,16,402,99,NC State,81,99,La Salle,88,
1954,West I Regional,16,405,99,Colorado,64,99,Bradley,76,
1954,West I Regional,16,406,99,Rice,45,99,Oklahoma St.,51,
1954,West II Regional,16,407,99,USC,73,99,Idaho St.,59,
1954,West II Regional,16,408,99,Santa Clara,73,99,Colorado St.,50,
1954,East I Regional,9,351,99,NC State,65,99,Cornell,54,
1954,East II Regional,9,352,99,Indiana,73,99,LSU,62,
1954,West I Regional,9,353,99,Rice,78,99,Colorado,55,
1954,West II Regional,9,354,99,Idaho St.,62,99,Colorado St.,57,
1954,East II Regional,8,302,99,Penn State,71,99,Notre Dame,63,
1954,East I Regional,8,301,99,Navy,48,99,La Salle,64,
1954,West I Regional,8,303,99,Bradley,71,99,Oklahoma St.,57,
1954,West II Regional,8,304,99,USC,66,99,Santa Clara,65,2OT
1954,Final Four,4,201,99,La Salle,69,99,Penn State,54,
1954,Final Four,4,202,99,Bradley,74,99,USC,72,
1954,Final Four,3,151,99,Penn State,70,99,USC,61,
1954,Final Four,2,101,99,La Salle,92,99,Bradley,76,
1955,East II Regional,32,506,99,Miami Ohio,79,99,Marquette,90,
1955,East II Regional,32,507,99,Penn State,59,99,Memphis,55,
1955,East I Regional,32,502,99,La Salle,95,99,West Virginia,61,
1955,East I Regional,32,503,99,Williams,60,99,Canisius,73,
1955,East I Regional,32,504,99,Duke,73,99,Villanova,74,
1955,West I Regional,32,510,99,Oklahoma City,65,99,Bradley,69,
1955,West II Regional,32,514,99,Idaho St.,63,99,Seattle,80,
1955,West II Regional,32,515,99,West Texas,66,99,San Francisco,89,
1955,East II Regional,16,403,99,Kentucky,71,99,Marquette,79,
1955,East II Regional,16,404,99,Penn State,53,99,Iowa,82,
1955,East I Regional,16,401,99,Princeton,46,99,La Salle,73,
1955,East I Regional,16,402,99,Canisius,73,99,Villanova,71,
1955,West I Regional,16,405,99,SMU,79,99,Bradley,81,
1955,West I Regional,16,406,99,Colorado,69,99,Tulsa,59,
1955,West II Regional,16,407,99,Oregon St.,83,99,Seattle,71,
1955,West II Regional,16,408,99,San Francisco,78,99,Utah,59,
1955,East I Regional,9,351,99,Villanova,64,99,Princeton,57,
1955,East II Regional,9,352,99,Kentucky,84,99,Penn State,59,
1955,West I Regional,9,353,99,Tulsa,68,99,SMU,67,
1955,West II Regional,9,354,99,Utah,108,99,Seattle,85,
1955,East II Regional,8,302,99,Marquette,81,99,Iowa,86,
1955,East I Regional,8,301,99,La Salle,99,99,Canisius,64,
1955,West I Regional,8,303,99,Bradley,81,99,Colorado,93,
1955,West II Regional,8,304,99,Oregon St.,56,99,San Francisco,57,
1955,Final Four,4,201,99,La Salle,76,99,Iowa,73,
1955,Final Four,4,202,99,Colorado,50,99,San Francisco,62,
1955,Final Four,3,151,99,Iowa,54,99,Colorado,75,
1955,Final Four,2,101,99,La Salle,63,99,San Francisco,77,
1956,East Regional,32,501,99,Connecticut,84,99,Manhattan,75,
1956,East Regional,32,502,99,Temple,74,99,Holy Cross,72,
1956,East Regional,32,503,99,West Virginia,59,99,Dartmouth,61,OT
1956,East Regional,32,504,99,NC State,78,99,Canisius,79,4OT
1956,Midwest Regional,32,506,99,Marshall,92,99,Morehead St.,107,
1956,Midwest Regional,32,507,99,Wayne St.,72,99,DePaul,63,
1956,Far West Regional,32,514,99,Idaho St.,66,99,Seattle,68,
1956,West Regional,32,510,99,SMU,68,99,Texas Tech,67,
1956,West Regional,32,511,99,Oklahoma City,97,99,Memphis,81,
1956,East Regional,16,401,99,Connecticut,59,99,Temple,65,
1956,East Regional,16,402,99,Dartmouth,58,99,Canisius,66,
1956,Midwest Regional,16,403,99,Iowa,97,99,Morehead St.,83,
1956,Midwest Regional,16,404,99,Wayne St.,64,99,Kentucky,84,
1956,Far West Regional,16,407,99,Utah,81,99,Seattle,72,
1956,Far West Regional,16,408,99,San Francisco,72,99,UCLA,61,
1956,West Regional,16,405,99,Houston,74,99,SMU,89,
1956,West Regional,16,406,99,Oklahoma City,97,99,Kansas St.,93,
1956,East Regional,9,351,99,Dartmouth,85,99,Connecticut,64,
1956,Midwest Regional,9,352,99,Morehead St.,95,99,Wayne St.,84,
1956,Far West Regional,9,354,99,UCLA,94,99,Seattle,70,
1956,West Regional,9,353,99,Kansas St.,89,99,Houston,70,
1956,East Regional,8,301,99,Temple,60,99,Canisius,58,
1956,Midwest Regional,8,302,99,Iowa,89,99,Kentucky,77,
