YEAR,Round,Group,Location,Date,GameNo,TEAM1,TEAM2,RUNS1,RUNS2,INN,...12,...13,Winner,Loser
2006,1,A,Tokyo,2006-03-03,1,South Korea,Chinese Taipei,2,0,,,,South Korea,Chinese Taipei
2006,1,A,Tokyo,2006-03-03,2,Japan,China,18,2,8,,,Japan,China
2006,1,A,Tokyo,2006-03-04,3,China,South Korea,1,10,,,,South Korea,China
2006,1,A,Tokyo,2006-03-04,4,Japan,Chinese Taipei,14,3,7,,,Japan,Chinese Taipei
2006,1,A,Tokyo,2006-03-05,5,Chinese Taipei,China,12,3,,,,Chinese Taipei,China
2006,1,A,Tokyo,2006-03-05,6,South Korea,Japan,3,2,,,,South Korea,Japan
2006,1,B,Phoenix,2006-03-07,1,Mexico,United States,0,2,,,,United States,Mexico
2006,1,B,Scottsdale,2006-03-07,2,Canada,South Africa,11,8,,,,Canada,South Africa
2006,1,B,Phoenix,2006-03-08,3,Canada,United States,8,6,,,,Canada,United States
2006,1,B,Scottsdale,2006-03-08,4,South Africa,Mexico,4,10,,,,Mexico,South Africa
2006,1,B,Phoenix,2006-03-09,5,Mexico,Canada,9,1,,,,Mexico,Canada
2006,1,B,Scottsdale,2006-03-10,6,United States,South Africa,17,0,5,,,United States,South Africa
2006,1,C,San Juan,2006-03-07,1,Panama,Puerto Rico,1,2,,,,Puerto Rico,Panama
2006,1,C,San Juan,2006-03-08,2,Cuba,Panama,8,6,11,,,Cuba,Panama
2006,1,C,San Juan,2006-03-08,3,Puerto Rico,Netherlands,8,3,,,,Puerto Rico,Netherlands
2006,1,C,San Juan,2006-03-09,4,Cuba,Netherlands,11,2,,,,Cuba,Netherlands
2006,1,C,San Juan,2006-03-10,5,Netherlands,Panama,10,0,7,,,Netherlands,Panama
2006,1,C,San Juan,2006-03-10,6,Puerto Rico,Cuba,12,2,7,,,Puerto Rico,Cuba
2006,1,D,Orlando,2006-03-07,1,Dominican Rep.,Venezuela,11,5,,,,Dominican Rep.,Venezuela
2006,1,D,Orlando,2006-03-07,2,Australia,Italy,0,10,7,,,Italy,Australia
2006,1,D,Orlando,2006-03-08,3,Italy,Venezuela,0,6,,,,Venezuela,Italy
2006,1,D,Orlando,2006-03-09,4,Italy,Dominican Rep.,3,8,,,,Dominican Rep.,Italy
2006,1,D,Orlando,2006-03-09,5,Venezuela,Australia,2,0,,,,Venezuela,Australia
2006,1,D,Orlando,2006-03-10,6,Australia,Dominican Rep.,4,6,,,,Dominican Rep.,Australia
2006,2,1,Anaheim,2006-03-12,1,Japan,United States,3,4,,,,United States,Japan
2006,2,1,Anaheim,2006-03-12,2,Mexico,South Korea,1,2,,,,South Korea,Mexico
2006,2,1,Anaheim,2006-03-13,3,United States,South Korea,3,7,,,,South Korea,United States
2006,2,1,Anaheim,2006-03-14,4,Japan,Mexico,6,1,,,,Japan,Mexico
2006,2,1,Anaheim,2006-03-15,5,South Korea,Japan,2,1,,,,South Korea,Japan
2006,2,1,Anaheim,2006-03-16,6,United States,Mexico,1,2,,,,Mexico,United States
2006,2,2,San Juan,2006-03-12,1,Cuba,Venezuela,7,2,,,,Cuba,Venezuela
2006,2,2,San Juan,2006-03-12,2,Puerto Rico,Dominican Rep.,7,1,,,,Puerto Rico,Dominican Rep.
2006,2,2,San Juan,2006-03-13,3,Dominican Rep.,Cuba,7,3,,,,Dominican Rep.,Cuba
2006,2,2,San Juan,2006-03-13,4,Venezuela,Puerto Rico,6,0,,,,Venezuela,Puerto Rico
2006,2,2,San Juan,2006-03-14,5,Venezuela,Dominican Rep.,1,2,,,,Dominican Rep.,Venezuela
2006,2,2,San Juan,2006-03-15,6,Cuba,Puerto Rico,4,3,,,,Cuba,Puerto Rico
2006,3,Final,San Diego,2006-03-20,3,Japan,Cuba,10,6,,,,Japan,Cuba
2006,3,Semis,San Diego,2006-03-18,1,Cuba,Dominican Rep.,3,1,,,,Cuba,Dominican Rep.
2006,3,Semis,San Diego,2006-03-18,2,Japan,South Korea,6,0,,,,Japan,South Korea
2009,1,A,Tokyo,2009-03-05,1,China,Japan,0,4,,,,Japan,China
2009,1,A,Tokyo,2009-03-06,2,Chinese Taipei,South Korea,0,9,,,,South Korea,Chinese Taipei
2009,1,A,Tokyo,2009-03-07,3,Chinese Taipei,China,1,4,,,,China,Chinese Taipei
2009,1,A,Tokyo,2009-03-07,4,Japan,South Korea,14,2,7,,,Japan,South Korea
2009,1,A,Tokyo,2009-03-08,5,China,South Korea,0,14,7,,,South Korea,China
2009,1,A,Tokyo,2009-03-09,6,South Korea,Japan,1,0,,,,South Korea,Japan
2009,1,B,Mexico City,2009-03-08,1,South Africa,Cuba,1,8,,,,Cuba,South Africa
2009,1,B,Mexico City,2009-03-08,2,Australia,Mexico,17,7,8,,,Australia,Mexico
2009,1,B,Mexico City,2009-03-09,3,Mexico,South Africa,14,3,,,,Mexico,South Africa
2009,1,B,Mexico City,2009-03-10,4,Cuba,Australia,5,4,,,,Cuba,Australia
