YEAR,SEQ,STAGE,GROUP,WINNER,WSc,LOSER,LSc,OT
1930,96,Group Stage,Grp1,France,4,Mexico,1,
1930,95,Group Stage,Grp1,Argentina,1,France,0,
1930,94,Group Stage,Grp1,Chile,3,Mexico,0,
1930,93,Group Stage,Grp1,Argentina,6,Mexico,3,
1930,92,Group Stage,Grp1,Chile,1,France,0,
1930,91,Group Stage,Grp1,Argentina,3,Chile,1,
1930,93,Group Stage,Grp2,Yugoslavia,2,Brazil,1,
1930,92,Group Stage,Grp2,Yugoslavia,4,Bolivia,0,
1930,91,Group Stage,Grp2,Brazil,4,Bolivia,0,
1930,93,Group Stage,Grp3,Romania,2,Peru,1,
1930,92,Group Stage,Grp3,Uruguay,1,Peru,0,
1930,91,Group Stage,Grp3,Uruguay,4,Romania,0,
1930,93,Group Stage,Grp4,United States,3,Belgium,0,
1930,92,Group Stage,Grp4,United States,3,Paraguay,0,
1930,91,Group Stage,Grp4,Paraguay,1,Belgium,0,
1930,2,Final,Wfin,Uruguay,4,Argentina,2,
1930,4,Semifinals,Wsmi,Argentina,6,United States,1,
1930,4,Semifinals,Wsmi,Uruguay,6,Yugoslavia,1,
1934,3,Third Place,W3rd,Germany,3,Austria,2,
1934,2,Final,Wfin,Italy,2,Czechoslovakia,1,AET
1934,16,Round of 16,Wpre,Sweden,3,Argentina,2,
1934,16,Round of 16,Wpre,Germany,5,Belgium,2,
1934,16,Round of 16,Wpre,Spain,3,Brazil,1,
1934,16,Round of 16,Wpre,Hungary,4,Egypt,2,
1934,16,Round of 16,Wpre,Austria,3,France,2,AET
1934,16,Round of 16,Wpre,Switzerland,3,Netherlands,2,
1934,16,Round of 16,Wpre,Czechoslovakia,2,Romania,1,
1934,16,Round of 16,Wpre,Italy,7,United States,1,
1934,8,Quarterfinals,Wqua,Austria,2,Hungary,1,
1934,8,Quarterfinals,Wqua,Italy,1,Spain,1,AET
1934,8,Quarterfinals,Wqua,Italy,1,Spain,0,Replay
1934,8,Quarterfinals,Wqua,Germany,2,Sweden,1,
1934,8,Quarterfinals,Wqua,Czechoslovakia,3,Switzerland,2,
1934,4,Semifinals,Wsmi,Italy,1,Austria,0,
1934,4,Semifinals,Wsmi,Czechoslovakia,3,Germany,1,
1938,3,Third Place,W3rd,Brazil,4,Sweden,2,
1938,2,Final,Wfin,Italy,2,Hungary,1,
1938,16,Round of 16,Wpre,France,3,Belgium,1,
1938,16,Round of 16,Wpre,Hungary,6,Dutch East Indies,0,
1938,16,Round of 16,Wpre,Switzerland,1,Germany,1,AET
1938,16,Round of 16,Wpre,Switzerland,4,Germany,2,Replay
1938,16,Round of 16,Wpre,Czechoslovakia,3,Netherlands,0,AET
1938,16,Round of 16,Wpre,Italy,2,Norway,1,AET
1938,16,Round of 16,Wpre,Brazil,6,Poland,5,AET
1938,16,Round of 16,Wpre,Cuba,3,Romania,3,AET
1938,16,Round of 16,Wpre,Cuba,2,Romania,1,Replay
1938,8,Quarterfinals,Wqua,Sweden,8,Cuba,0,
1938,8,Quarterfinals,Wqua,Brazil,1,Czechoslovakia,1,AET
1938,8,Quarterfinals,Wqua,Brazil,2,Czechoslovakia,1,Replay
1938,8,Quarterfinals,Wqua,Italy,3,France,1,
1938,8,Quarterfinals,Wqua,Hungary,2,Switzerland,0,
1938,4,Semifinals,Wsmi,Italy,2,Brazil,1,
1938,4,Semifinals,Wsmi,Hungary,5,Sweden,1,
1950,96,Group Stage,Grp1,Brazil,4,Mexico,0,
1950,95,Group Stage,Grp1,Yugoslavia,3,Switzerland,0,
1950,94,Group Stage,Grp1,Brazil,2,Switzerland,2,tie
1950,93,Group Stage,Grp1,Yugoslavia,4,Mexico,1,
1950,92,Group Stage,Grp1,Brazil,2,Yugoslavia,0,
1950,91,Group Stage,Grp1,Switzerland,2,Mexico,1,
1950,96,Group Stage,Grp2,Spain,3,United States,1,
1950,95,Group Stage,Grp2,England,2,Chile,0,
1950,94,Group Stage,Grp2,United States,1,England,0,
1950,93,Group Stage,Grp2,Spain,2,Chile,0,
1950,92,Group Stage,Grp2,Spain,1,England,0,
1950,91,Group Stage,Grp2,Chile,5,United States,2,
1950,93,Group Stage,Grp3,Sweden,3,Italy,2,
1950,92,Group Stage,Grp3,Sweden,2,Paraguay,2,tie
1950,91,Group Stage,Grp3,Italy,2,Paraguay,0,
1950,91,Group Stage,Grp4,Uruguay,8,Bolivia,0,
1950,26,Final Group,Wfrd,Spain,2,Uruguay,2,
1950,25,Final Group,Wfrd,Brazil,7,Sweden,1,
1950,24,Final Group,Wfrd,Brazil,6,Spain,1,
1950,23,Final Group,Wfrd,Uruguay,3,Sweden,2,
1950,22,Final Group,Wfrd,Sweden,3,Spain,1,
1950,21,Final Group,Wfrd,Uruguay,2,Brazil,1,
1954,94,Group Stage,Grp1,Brazil,5,Mexico,0,
1954,93,Group Stage,Grp1,Yugoslavia,1,France,0,
1954,92,Group Stage,Grp1,France,3,Mexico,2,
1954,91,Group Stage,Grp1,Brazil,1,Yugoslavia,1,AET
1954,94,Group Stage,Grp2,West Germany,4,Turkey,1,
1954,93,Group Stage,Grp2,Hungary,9,South Korea,0,
1954,92,Group Stage,Grp2,Hungary,8,West Germany,3,
1954,91,Group Stage,Grp2,Turkey,7,South Korea,0,
1954,90,Group Stage,Grp2,West Germany,7,Turkey,2,Playoff
1954,94,Group Stage,Grp3,Austria,1,Scotland,0,
1954,93,Group Stage,Grp3,Uruguay,2,Czechoslovakia,0,
1954,92,Group Stage,Grp3,Uruguay,7,Scotland,0,
1954,91,Group Stage,Grp3,Austria,5,Czechoslovakia,0,
1954,94,Group Stage,Grp4,Switzerland,2,Italy,1,
1954,93,Group Stage,Grp4,England,4,Belgium,4,AET
1954,92,Group Stage,Grp4,England,2,Switzerland,0,
1954,91,Group Stage,Grp4,Italy,4,Belgium,1,
1954,90,Group Stage,Grp4,Switzerland,4,Italy,1,Playoff
1954,3,Third Place,W3rd,Austria,3,Uruguay,1,
1954,2,Final,Wfin,West Germany,3,Hungary,2,
1954,8,Quarterfinals,Wqua,Hungary,4,Brazil,2,
1954,8,Quarterfinals,Wqua,Uruguay,4,England,2,
1954,8,Quarterfinals,Wqua,Austria,7,Switzerland,5,
1954,8,Quarterfinals,Wqua,West Germany,2,Yugoslavia,0,
1954,4,Semifinals,Wsmi,West Germany,6,Austria,1,
1954,4,Semifinals,Wsmi,Hungary,4,Uruguay,2,AET
1958,96,Group Stage,Grp1,West Germany,3,Argentina,1,
1958,95,Group Stage,Grp1,Northern Ireland,1,Czechoslovakia,0,
1958,94,Group Stage,Grp1,West Germany,2,Czechoslovakia,2,tie
1958,93,Group Stage,Grp1,Argentina,3,Northern Ireland,1,
1958,92,Group Stage,Grp1,West Germany,2,Northern Ireland,2,tie
1958,91,Group Stage,Grp1,Czechoslovakia,6,Argentina,1,
1958,90,Group Stage,Grp1,Northern Ireland,2,Czechoslovakia,1,AET Playoff
1958,96,Group Stage,Grp2,Yugoslavia,1,Scotland,1,tie
1958,95,Group Stage,Grp2,France,7,Paraguay,3,
1958,94,Group Stage,Grp2,Yugoslavia,3,France,2,
1958,93,Group Stage,Grp2,Paraguay,3,Scotland,2,
1958,92,Group Stage,Grp2,Paraguay,3,Yugoslavia,3,tie
1958,91,Group Stage,Grp2,France,2,Scotland,1,
1958,96,Group Stage,Grp3,Sweden,3,Mexico,0,
1958,95,Group Stage,Grp3,Hungary,1,Wales,1,tie
1958,94,Group Stage,Grp3,Mexico,1,Wales,1,tie
1958,93,Group Stage,Grp3,Sweden,2,Hungary,1,
1958,92,Group Stage,Grp3,Sweden,0,Wales,0,tie
1958,91,Group Stage,Grp3,Hungary,4,Mexico,0,
1958,90,Group Stage,Grp3,Wales,2,Hungary,1,Playoff
1958,96,Group Stage,Grp4,Soviet Union,2,England,2,tie
1958,95,Group Stage,Grp4,Brazil,3,Austria,0,
1958,94,Group Stage,Grp4,Soviet Union,2,Austria,0,
1958,93,Group Stage,Grp4,Brazil,0,England,0,tie
1958,92,Group Stage,Grp4,England,2,Austria,2,tie
1958,91,Group Stage,Grp4,Brazil,2,Soviet Union,0,
1958,90,Group Stage,Grp4,Soviet Union,1,England,0,Playoff
1958,3,Third Place,W3rd,France,6,West Germany,3,
1958,2,Final,Wfin,Brazil,5,Sweden,2,
1958,8,Quarterfinals,Wqua,France,4,Northern Ireland,0,
1958,8,Quarterfinals,Wqua,Sweden,2,Soviet Union,0,
1958,8,Quarterfinals,Wqua,Brazil,1,Wales,0,
1958,8,Quarterfinals,Wqua,West Germany,1,Yugoslavia,0,
1958,4,Semifinals,Wsmi,Brazil,5,France,2,
1958,4,Semifinals,Wsmi,Sweden,3,West Germany,1,
1962,96,Group Stage,Grp1,Uruguay,2,Colombia,1,
1962,95,Group Stage,Grp1,Soviet Union,2,Yugoslavia,0,
1962,94,Group Stage,Grp1,Yugoslavia,3,Uruguay,1,
1962,93,Group Stage,Grp1,Soviet Union,4,Colombia,4,tie
1962,92,Group Stage,Grp1,Soviet Union,2,Uruguay,1,
1962,91,Group Stage,Grp1,Yugoslavia,5,Colombia,0,
1962,96,Group Stage,Grp2,Chile,3,Switzerland,1,
1962,95,Group Stage,Grp2,West Germany,0,Italy,0,tie
1962,94,Group Stage,Grp2,Chile,2,Italy,0,
1962,93,Group Stage,Grp2,West Germany,2,Switzerland,1,
1962,92,Group Stage,Grp2,West Germany,2,Chile,0,
1962,91,Group Stage,Grp2,Italy,3,Switzerland,0,
1962,96,Group Stage,Grp3,Brazil,2,Mexico,0,
1962,95,Group Stage,Grp3,Czechoslovakia,1,Spain,0,
